日期,账号,标题,链接,摘要,标签,正文,来源
"Fri, 07 Aug 2026 00:55:47 +0000",量子位,冲刺全球首个100万小时具身数据！三家国产公司，联手了,https://www.qbitai.com/2026/08/467486.html,,,采集、仿真、训练和评测，闭环了,rss
"Fri, 07 Aug 2026 00:25:07 +0000",量子位,DeepSeek豪掷1.4亿护航宇树IPO，杭州绝代双骄战略合体,https://www.qbitai.com/2026/08/467487.html,,,此后模型、算力、数据中心都在合作范围内,rss
"Fri, 07 Aug 2026 08:18:42 +0800",极客公园,OpenAI 首款 AI 硬件曝光；DeepSeek 拟上调 API 服务定价；曝字节拟训练超 5 万亿超大参数模型｜极客早知道,http://www.geekpark.net/news/368504,,,"<p style=""text-align: center;"">&nbsp;</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/3c/d8/3cd806d4b88f40c9e6ea27794df8fa91.png"" /></p>
<h1>古尔曼爆料 OpenAI 首款 AI 硬件：甜甜圈造型、冰球大小，先进语音交互等</h1>
<p>8 月 7 日消息，彭博社的马克 &middot; 古尔曼（Mark Gurman）今天（8 月 7 日）发布 Power On 实时通讯，爆料称 OpenAI 的首款 AI 硬件为冰球（Hockey Puck，约 115.8 立方厘米）大小，售价预估在 300 美元到 400 美元（IT 之家注：现汇率约合 2,029 元到 2,705 元人民币）之间，有望 2027 年发布。</p>
<p>定位方面，这款 AI 硬件本质上是「没有显示屏的智能音箱」，面向家庭场景设计，用户可用单手在家中携带它移动，由 OpenAI 公司和前苹果设计师乔纳森 &middot; 伊夫（Jony Ive）合作开发。</p>
<p>外观方面，消息称这款 AI 硬件外形呈「甜甜圈形」，大小约等于冰球。IT 之家查询公开资料，标准冰球（Hockey Puck）直径约为 7.62 厘米，体积约为 115.8 立方厘米。</p>
<p>硬件方面，古尔曼透露这款硬件配备可移动部件，其中部分部件可自动移动，用于提示设备正在响应或与用户互动。设备还将配备灯光、摄像头系统和其他传感器。</p>
<p>交互方式上，古尔曼透露该设备的运行机制，类似于手机端的 ChatGPT 语音模式，<strong>会使用更先进的模型，以支持更接近人类交流的互动。（来源： IT 之家）</strong></p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/d6/e6/d6e6c41689b3362070efa6b9ae182d1f.png"" /></p>
<p>科技媒体 @PatentlyApple 制作的渲染图</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/2c/cb/2ccb765321a7c0356edcadc14c0c6b03.png"" /></p>
<h1>曝字节拟训练超 5 万亿参数大模型 参数规模超 Kimi K3</h1>
<p>8 月 6 日消息，据《晚点 LatePost》报道，字节跳动正在讨论训练一个参数规模超 5 万亿的模型，它超过阿里的 Qwen 3.8-Max（2.4 万亿参数）和月之暗面的 K3（2.8 万亿参数），也是目前国内已知参数规模最大的模型。该计划仍处于早期阶段，模型最终不一定会发布。</p>
<p>报道称，新模型将由 Seed Foundation 负责人项亮主导，与大语言模型预训练数据负责人沈科合作。为此，Seed 正在重新梳理组织，划分职责，分配资源。</p>
<p>项亮与沈科均是字节跳动人工智能及大模型研发体系内的核心骨干，均出自字节的「搜广推」体系。项亮本科毕业于中国科学技术大学，博士就读于中科院自动化所，2016 年加入字节，曾负责机器学习中台 AML 团队，后调任豆包大模型 Foundation 团队任负责人。沈科 2018 年清华毕业后，加入字节跳动，现主要负责 LLM 预训练数据。</p>
<p>针对字节讨论训练超 5 万亿参数模型的原因，报道援引接近 Seed 人士消息称，Seed 团队认为，与其在现有尺寸上继续追赶其他大模型，不如把参数规模一次推到同行的数倍，争取领先位置。</p>
<p>两周前的 Seed 全员会上，字节跳动创始人张一鸣安抚了 Seed 的成员。他认为，训大模型本就是一件很难的事，团队不必过度焦虑。他明确一段时间内可接受模型落后于行业，希望大家以追求智能上限为目标，期待 Seed 模型能力能跻身世界第一梯队。</p>
<p>张一鸣认为编程是当前的关键方向，并表态自己反对蒸馏。在其看来，蒸馏能在短期内改善模型表现，但本质上仍是在复制 Claude 已有的能力。沿着这条路走，最多只能不断逼近对方，很难真正实现超越。</p>
<p>（来源：新浪科技）</p>
<h1>宇树科技：本次发行价格 150.80 元/股，本次发行数量占发行后总股本 10%</h1>
<p>8 月 6 日消息",rss
"Thu, 06 Aug 2026 20:52:10 +0800",极客公园,对话刘靖康：镜头之外的「智能」和「审美」，才是 Camera Agent 的主战场,http://www.geekpark.net/news/368503,,,"<p style=""text-align: left;"">未来的影像设备，应该是「前轻后重」的。</p>
<p style=""text-align: left;"">这是影石Insta360 创始人刘靖康在 AGI Playground 2026 上对影像行业未来趋势的判断。上个月，影石刚刚宣布了「打造 Cameraman」的最新产品愿景&mdash;&mdash;它代表着一种「更简单操作+更好的交付」的影像体验。</p>
<p style=""text-align: left;"">刘靖康说：「也可以认为这是一种 Camera Agent」。</p>
<p style=""text-align: left;"">产品形态大概率是多样的。因为哪怕「前轻」，不同出片场景里人们依然需要不一样的镜头、焦段以及第一人称、第三人称等不同拍摄形式。</p>
<p style=""text-align: left;"">和具身领域一样，目前距离让设备本体在通用场景里「自由移动」，仍有不小的挑战。但 Cameraman 未必需要一个「通用」的大脑，因为对于记录和分享生活而言，「审美在线」很大程度上比「聪明地执行标准化任务」更重要。</p>
<p style=""text-align: left;"">据刘靖康介绍，目前影石已经尝试通过云端为用户直接提供 AI 剪辑服务。收费标准是 6 元/条，前两个月的灰度测试已经完成了数十万条的剪辑，导出率（类似于视频生成的「抽卡率」）超过50%。</p>
<p style=""text-align: left;"">但这条路仍然走在早期。Camera Agent 不止是一个独立存在的个人或服务，它需要提升的不仅是自身的智能和审美，还有对于人类在物理世界里的「审美期待」的更深刻理解。</p>
<p style=""text-align: left;"">以下是影石Insta360 创始人刘靖康（JK）和极客公园创始人&amp;总裁张鹏的对谈内容。经 FounderPark 整理。</p>
<p>&nbsp;</p>
<p style=""text-align: left;"">策划、整理 | siqi</p>
<p style=""text-align: left;"">编辑｜ 万户</p>
<p>&nbsp;</p>
<h2 style=""text-align: left;""><span style=""font-weight: bold;"">Cameraman</span><span style=""font-weight: bold;"">，核心不是拍摄，而是结果交付</span></h2>
<p>&nbsp;</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">张鹏：欢迎 JK 来到 AGI Playground。Insta360 前段时间更新了产品使命：以前你为消费者提供「camera」，未来想提供的是「Cameraman」。这个变化意味着什么？</span></p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">刘靖康：</span>Cameraman 这个想法不是一蹴而就的，它始于 2019 年。当时我们第一次把准备发布的运动相机装到一台穿越机上去拍广告片，拍出来的镜头非常好看。但想要拍出这样的画面，操控门槛很高。于是我们就自然地往下推导：怎么让每个人都能更容易拍出这种画面？</p>
<p style=""text-align: left;"">再往下思考，我们觉得必须看到消费者「需求背后的需求」：大多数人真正要的不是操作机器，而是得到好的照片和视频。正如今天大家出去玩，有些人会请摄影师给自己跟拍，今天这个活动也有 cameraman（摄影师）帮我们抓拍&mdash;&mdash;我们不需要自己动手，就能拿到很多好照片，这是影像的上限体验。</p>
<p>&nbsp;</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">张鹏：所以你们从那时候就开始拆，一台能全自动拍摄的机器该具备什么？</span></p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">刘靖康：</span>对，我们整体分出了 3 个技术方向。</p>
<p style=""text-align: left;"">第一个是 Imaging，跟「眼睛」相关。我们花了很多时间储备各类镜头、传感器和影像调校技术。</p>
<p style=""text-align: le",rss
"Thu, 06 Aug 2026 17:02:45 +0800",极客公园,这枚不到 5 克的戒指，藏着 AI 交互的未来,http://www.geekpark.net/news/368497,,,"<p>智能戒指是一个被行业反复捡起、又反复放下的品类。</p>
<p>过去十多年，从消息通知、移动支付、身份识别到手势控制，厂商几乎把所有对可穿戴设备的想象都装进过戒指。它足够贴身，又比手表更轻，理论上应该是最接近人的计算设备之一。但在真实使用中，一枚没有屏幕、算力和电池空间都极其有限的戒指，很难独立完成一套足够复杂的交互。</p>
<p>很多能力因此停留在发布会演示里：抬手翻一页 PPT，捏一下手指拍照，或者隔空切换一首歌。第一次体验很新鲜，但用户很快会发现，它们既不能替代原来的遥控器，也没有构成购买一枚戒指的充分理由。</p>
<p>经过几轮产品迭代，Oura、RingConn 等公司逐渐把健康监测推到产品核心。与需要即时响应的交互相比，健康是一条更容易闭环的路径：戒指贴近手指血管，适合长时间采集心率、血氧和睡眠数据；没有屏幕反而意味着更低功耗，也减少了睡觉时的佩戴负担。硬件负责采集，App 负责生成睡眠、恢复和压力报告，用户则通过长期数据获得持续佩戴的理由。</p>
<p>这并不是因为戒指天然只适合健康，而是健康最终成为现阶段最适合的答案。</p>
<p>代价是，智能戒指也逐渐被定义成了一只更小、更轻的健康手环。它能够感知人，却很少帮助人主动操作周围的数字世界。即使一些产品重新加入拍照、关闭闹钟等手势能力，这些功能通常也只连接特定手机和少数操作，更像健康产品上的附加项，而不是一种新的输入方式。</p>
<p>生成式 AI 和 Agent 的出现，可能改变现状。</p>
<p>过去，要让戒指控制手机、电脑、汽车、电视和智能家居，厂商需要为不同设备编写规则、适配接口，再让用户记住不同手势。一枚几克重的戒指，既承担不了这样的计算，也无法独自理解复杂场景。但 Agent 可以在手机或云端理解人的意图、判断目标设备，并把任务发送到正确的终端。</p>
<p>戒指不再需要成为一台缩小的计算机，只需要做好最贴近人的那一部分：<strong>持续在线，捕捉手指动作，在需要时完成唤醒、选择、确认和连续调节。</strong></p>
<p>这让戒指有可能成为 AI 时代的通用 Input。</p>
<p>在一个由手机、耳机、眼镜、汽车和家居设备共同组成的计算环境里，人未必还需要先找到一块屏幕、打开一个 App，再进入层层菜单。语音可以快速表达复杂意图，眼镜可以感知环境，而手势仍然适合完成那些高频、私密、需要即时反馈的操作。</p>
<p>KiWear 想重新押注的，正是智能戒指曾经没有走通的这条路。</p>
<p style=""text-align: center;""><img alt=""经典科技感设计的 KiWear 智能戒指外观，展示其轻薄小巧的时尚指环形态，主打不足 5 克的无感佩戴体验。"" src=""https://imgslim.geekpark.net/uploads/image/file/b9/7b/b97bda5bad9e0a99223bf34fc71a7e4b.jpg"" title=""KiWear 智能戒指：AI 时代的通用交互新硬件"" /></p>
<p>Kiwear 智能戒指｜来自：KiWear</p>
<h1>健康救了智能戒指，也限制了它</h1>
<p>从产品角度看，健康之所以成为智能戒指最主流的方向，不只是因为传感器技术已经成熟，也因为它对「交互」的要求最低。</p>
<p>健康监测是一种被动体验。用户不需要记住动作，也不需要频繁给戒指反馈，只要持续佩戴，数据就会在后台积累。即使同步偶尔延迟，或者某一次测量出现偏差，也可以通过更长周期的数据和算法进行修正。</p>
<p>主动交互则完全不同。</p>
<p>当戒指承担输入任务时，每一次操作都必须立即被识别。一次误触、一次断连，或者稍显迟钝的反馈，都会直接破坏操控感。用户也不会因为戒指能够翻动一页 PPT，就扔掉翻页笔；更不会因为它可以让电视菜单上下移动，就收起遥控器。只要确认、返回、音量或设备切换中有一个关键环节走不通，用户就会重新拿起原来的设备。</p>
<p>「能操作」与「能替代」之间，隔着一条看似不宽但深不见底地鸿沟。</p>
<p>生态割裂又进一步放大了这个问题。手机、电脑、电视、汽车、智能眼镜和智能家居，使用不同的系统、权限和交互规范。如果一枚戒指每进入一个场景，都要等待终端厂商单独适配，它最终只会成为某一台设备的昂贵配件；如果不同设备又对应不同手势，用户为了省下一次点击，反而需要学习更多规则。</p>
<p>过去很多智能戒指的交互功能最终变成 showcase，并不是因为手势本身没有价值，而是它们通常只完成了一个孤立的动作，没有完成整个场景。</p>
<p>三星 Galaxy Ring 的双指捏合可以拍照或关闭闹钟，就是一个典型例子。它证明戒指能够识",rss
"Thu, 06 Aug 2026 15:51:48 +0800",极客公园,谷歌「地基元老」Jeff Dean 离职创业，新公司瞄准 AI4S,http://www.geekpark.net/news/368495,,,"<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">作者｜桦林舞王</span></p>
<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">编辑｜靖宇</span></p>
<p style=""text-align: left;"">&nbsp;</p>
<p style=""text-align: left;"">1999 年，Jeff Dean 加入谷歌的时候，这家公司只有 20 个人，办公室在 Palo Alto 一家 T-Mobile 门店的楼上。27 年后，他是谷歌的首席科学家，身后是 MapReduce、Bigtable、Spanner、TensorFlow、TPU、Gemini&mdash;&mdash;几乎每一项支撑谷歌运转的核心基础设施，都有他的名字。</p>
<p style=""text-align: left;"">8 月 5 日，Jeff Dean 宣布离开谷歌，和三位长期合作者共同创立 Discovery Loop。消息公布当天，Alphabet 股价下跌约 5%。</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">市场的反应很诚实。走的不是一个高管，是一根承重柱。</span></p>
<h1 style=""text-align: center;""><span style=""font-weight: bold; font-style: italic; color: #000000;"">01</span></h1>
<p style=""text-align: center;""><span style=""font-weight: bold;"">造 AI 研究的基建</span></p>
<p style=""text-align: left;"">Discovery Loop 的目标，用创始团队自己的话说，是「自动化机器学习、科学和工程的实验循环」。</p>
<p style=""text-align: left;"">这句话需要拆开来理解。科学研究的核心流程其实是一个循环&mdash;&mdash;提出假设，设计实验，执行实验，检验结果，然后基于结果提出新假设，再来一轮。人类做了几百年的科学，靠的就是这个循环。问题在于，这个循环极度依赖人工，速度受限于人类的精力和时间。</p>
<p style=""text-align: left;"">Discovery Loop 要做的，就是 <span style=""font-weight: bold;"">用 AI 模型和大规模算力，把这个循环自动化，并行跑成千上万个实验 </span>。</p>
<p style=""text-align: center;""><img height=""716"" src=""https://imgslim.geekpark.net/uploads/image/file/93/4d/934d27e1e24df7bfa15fd5e8d725eae9.png"" /></p>
<p style=""text-align: left;""><span style=""color: #bbbfc4;"">Discovery Loop 团队，全部来自谷歌技术大拿｜图片来源：x</span></p>
<p style=""text-align: left;"">具体路线分三步：</p>
<p style=""text-align: left;"">第一步， <span style=""font-weight: bold;"">先拿机器学习研究本身开刀&mdash;&mdash;用 AI 自动做 AI 研究 </span>，自动提出实验方案、自动跑评估、自动迭代模型。这是最务实的起点，因为 ML 研究的反馈循环最短、评估指标最清晰、数据最现成。</p>
<p style=""text-align: left;"">第二步， <span style=""font-weight: bold;"">用这套能力优化自己的技术栈，让自己成为自己的第一个客户 </span>。</p>
<p style=""text-align: left;"">第三步， <span style=""font-weight: bold;"">推广到更广阔的科学和工程领域 </span>，包括硬件设计、药物发现和清洁能源。</p>
<p style=""text-align: left;"">公司注册为公益公司（Public Benefit Corpo",rss
"Thu, 06 Aug 2026 12:00:00 +0000",TechCrunch AI,Omilia raises $67M to scale its customer support platform,https://techcrunch.com/2026/08/06/omilia-raises-67m-to-scale-its-customer-support-platform/,,,"The Series B is the company's second fundraise since it last raised capital in 2020. In that time, it has increased its ARR by 10x to $60 million.",rss
