日期,账号,标题,链接,摘要,标签,正文,来源
"Wed, 09 Sep 2026 15:38:04 GMT",InfoQ 机器人,“超脑+狼族”最新全阵容亮相！京东物流打造供应链应用场景最多、规模最大的AI具身机器人军团,https://www.infoq.cn/article/ZebW8Yc4QTzrbdJxagCc?utm_source=rss&utm_medium=article,,,"<div align=""right""><a href=""https://www.infoq.cn/article/ZebW8Yc4QTzrbdJxagCc?utm_source=rss&amp;utm_medium=article"">点击查看原文></a></div>",rss
"Wed, 09 Sep 2026 04:52:12 +0000",量子位,具身机器人能搞定超市盘点吗？全球七万门店正在给出答案,https://www.qbitai.com/2026/09/486280.html,,,从Demo到货架，这两家公司要让具身智能算得过账,rss
"Thu, 10 Sep 2026 08:58:59 +0800",极客公园,苹果进入特努斯时代，首发 15999 元折叠屏 iPhone；Deepseek 被曝备战科创板 IPO；谷歌埃森哲组建千人 FDE 团队 | 极客早知道,http://www.geekpark.net/news/370089,,,"<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/96/95/96956c207062accdbf79712fe34663cd.png"" /></p>
<h2>苹果首款折叠 iPhone Duo 亮相，国行 15999 元起</h2>
<p>北京时间 9 月 10 日凌晨，苹果发布首款折叠手机 iPhone Duo，国行 15999 元起，10 月 16 日开启预售，23 日正式发售。同场推出 iPhone 18 Pro 系列，9999 元起；标准版 iPhone 18 推迟至明年春季发布。</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/fb/0b/fb0bcf701538653d1701c85b5f50534c.png"" /></p>
<p>该机采用书本式内折设计，内外屏尺寸与小米 18 Fold 接近，价格高出 5000 元。机身重 254 克，厚度在同类折叠机型中偏厚重，但支持 IP68 防水。机型取消长焦镜头与面容 ID，改用侧边 Touch ID，搭载 A20 Pro 芯片。iOS 27 首次加入手机分屏功能，后续还将支持 Apple Pencil。</p>
<p>此外，Apple Watch Series 12 新增对话摘要功能，AirPods 5 基础款首次搭载主动降噪。多款 AI 相关新功能暂未在国内上线。苹果仅优化了折叠屏软件适配，并未解决行业普遍存在的重量与高价难题。（来源：极客公园）</p>
<p>关联阅读：<a href=""https://www.geekpark.net/news/370088"" title=""苹果第一台折叠 iPhone，15999 元起"">苹果第一台折叠 iPhone，15999 元起</a></p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/60/cc/60cc8f955f2414a8be40cf2ea03d7e0f.png"" /></p>
<h2>OpenAI 企业收入反超 C 端</h2>
<p>OpenAI 企业业务持续增长。弗莱尔表示，今年年初，公司 60% 收入来自 ChatGPT 个人用户，剩余部分来自企业客户；如今这一收入结构已经反转。她补充道，6 月至 7 月，公司整体年化营收增长 20%，企业业务年化营收增幅达到 32%。</p>
<p>为追赶 Anthropic，OpenAI 正全力拓展大型企业客户。Anthropic 最快将于今年秋季上市，募资规模有望超过 1000 亿美元。弗莱尔希望转变面向企业客户的营收模式。她计划不再依据客户消耗的令牌（模型读写的基础信息单元）计费，而是转向基于价值的收费方式。</p>
<p>据一位了解相关数据、但未获授权公开发布信息的匿名人士透露，尽管 OpenAI 预计到 2030 年算力投入将达到约 7500 亿美元，但公司仍然深感算力严重不足。（来源：新浪科技）</p>
<p>&nbsp;</p>
<h2>京东计划 5 年采购 300 万台机器人</h2>
<p>9 月 9 日，在 JDD 京东全球科技探索者大会上，京东物流新发布五款「狼族」机器人全新产品和技术，包括 7x24 小时无人药房自动作业的「母狼」、为冷链场景打造的料箱货到人「智狼」低温版、全新具身拣选机器人「仓狼」、采用 L4 级自动驾驶能力的「独狼」第六代智能配送车 Plus 版、行业首个支持全无人化运营的物流无人机「飞狼」L05，以及在分拣场景规模化应用落地的具身灵巧臂「异狼」。</p>
<p>据悉，京东物流致力于打造全球最大规模的具身机器人应用军团。未来五年，京东计划采购超过 300 万台机器人、100 万台无人车和 10 万架无人机，进一步推动物流全流程自动化升级。（来源：新浪科技）</p>
<p>&nbsp;</p>
<h2>谷歌计划在芬兰投入至少 130 亿欧元用于 AI 基建，为其在欧洲最大单笔投资</h2>
<p>9 月 9 日消息，Alphabet 旗下谷歌正在芬兰推进其在欧洲规模最大的单笔投资，计划投入至少 130 亿欧元，用于建设人工智能基础设施。</p>
<p>谷歌当地时间周三在一份声明中表示，未来两年，公司将在芬兰至少建设 3 座新的数据中心，同时扩建位于该国东南部城市哈米纳（Hamina）的现有数据中心。</p>
<p>谷歌选择芬兰，很大程度",rss
"Wed, 09 Sep 2026 15:07:04 +0800",极客公园,千问办公发布多人工作台，重写企业软件的最后一公里,http://www.geekpark.net/news/370061,,,"<div>
<div class=""ace-line ace-line old-record-id-doxcntaMvY6KwqUZ5hOR3LwALjb""><strong>作者｜Cynthia</strong></div>
<div class=""ace-line ace-line old-record-id-doxcnYKZJn1U1oTy0cDkk2kTfcf""><strong>编辑｜郑玄</strong></div>
</div>
<p>2026 年 2 月 3 日，由 Anthropic 带头，华尔街替 SaaS 写好了讣告。</p>
<p>几天前，Anthropic 正式官宣把 Claude Cowork 的插件能力扩展到法律、销售、金融等知识工作。与普通聊天机器人不同，这些插件可以携带部门工作流、调用外部工具和数据，并按照预设规则完成一段具体工作。</p>
<p>市场很快把这种能力翻译成了另一个词：替代。2 月 3 日，高盛一篮子美国软件股单日下跌 6%；彭博统计，当天软件、金融服务和资产管理相关股票合计蒸发约 2850 亿美元。一天之后，Wind 香港 SaaS 指数又下跌 6.39%，板块总市值缩水近 150 亿港元。</p>
<p><strong>七个月后，这个问题又进一步从资本市场蔓延到了产品端。</strong></p>
<p>9 月 7 日，千问办公上线多人工作台。用户不再先选择我要做 CRM 或者我要做项目管理，只要说清有哪些角色、每个人要做什么、需要保存哪些数据。系统据此生成一个可以在线发布的协作应用，带角色权限、云端数据库和管理后台，最多支持百人同时在线。</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/ff/58/ff5870e78c8fde3b2efa82d144920e92.png"" /></p>
<p>「千问办公」产品首页</p>
<p>在这背后，数据库、权限、后台、状态流转这些过去构成一套专业企业软件的基本零件，开始由 Agent 根据一段业务描述临时组装出来。</p>
<p>而这，也让这 SaaS 与企业办公 Agent 之间的关系变得更加微妙：过去二十年，SaaS 解决了一个巨大的问题：寻找企业办公的公约数，然后将软件低成本复用，统一升级、云端部署、订阅收费，软件公司的边际交付成本因此大幅下降。</p>
<p>但它始终没有彻底解决另一个问题：<strong>软件怎么低成本地适配一家具体公司甚至一段具体的业务流程。但办公 Agent 做到了。</strong></p>
<h1 style=""text-align: center;""><strong><em>01</em></strong></h1>
<p style=""text-align: center;""><strong>国产 SaaS，为什么 20 年了还没爆发？</strong></p>
<p>中国 SaaS 大概是科技行业里最擅长过元年的赛道。</p>
<p>至少在 2007 年前后，SaaS 就已经逐渐在国内成为显学。那时中国管理软件市场还是一个很有江湖气的世界：南金蝶、北用友。两家公司从财务软件一路打到 ERP，全国铺销售、实施和服务团队。</p>
<p>到了 2015 年，伴随移动互联网、云计算和资本进入，行业再次迎来公认的大规模扩张期，中国 SaaS 市场规模就已经达到 10.5 亿美元，同比增长 30%。研究机构们，后来也将这一年称为中国 SaaS「元年」。</p>
<p>最近一次，则是疫情催化下，2021 年企业服务融资再度火热，媒体又一次开始讨论「新的 SaaS 元年」。到 2023 年，中国 SaaS 市场规模已经达到 581 亿元，仍然同比增长 23.1%；但另一边，从 2021 年至 2023 年，SaaS 投融资事件数量减少了 71%，融资金额下降 85%。</p>
<p><strong>元年复元年背后，企业数字化需求从来没有消失，只是行业一次又一次高估了需求增长转化成软件规模化利润的速度。</strong></p>
<p>原因就藏在 SaaS 最漂亮的商业模型里。</p>
<p>SaaS 的经济性建立在复用上。同一套产品卖给第一百家公司和第一万家公司，研发投入不需要同步扩大一百倍。但企业越大，组织结构、审批制度、行业规则和历史系统往往越复杂。</p>
<p>所以中国 SaaS 长期真正卡住的，并不是企业愿不愿意数字化，而是一组很难同时成立的条件：客户希望软件越来越懂自己，软件公司却只有让客户尽量使用同一套东西，才能拥有最理想的规模经济。</p>
<p>这也是为什么过",rss
"Thu, 10 Sep 2026 00:00:37 +0000",TechCrunch AI,AI research startup Listen Labs scrubbed a $1.5B funding round for Salesforce talks,https://techcrunch.com/2026/09/09/ai-research-startup-listen-labs-scrubbed-a-1-5b-funding-round-for-salesforce-talks/,,,"Listen Labs walked away from a signed Series C term sheet from Menlo Ventures, sources say.",rss
