日期,账号,标题,链接,摘要,标签,正文,来源
"Thu, 13 Aug 2026 10:00:00 GMT",InfoQ 机器人,智象未来 (HiDream.ai)算法科学家潘滢炜博士确认出席AICon深圳，将分享“从 Token 预测到状态预测：迈向世界模型的原生全模态之路”,https://www.infoq.cn/article/9d9Oik3uZpqfjbfElZaq?utm_source=rss&utm_medium=article,,,"<div align=""right""><a href=""https://www.infoq.cn/article/9d9Oik3uZpqfjbfElZaq?utm_source=rss&amp;utm_medium=article"">点击查看原文></a></div>",rss
"Thu, 13 Aug 2026 12:34:42 +0000",量子位,4.8亿美元砸向端侧算力！Agent芯片新贵冲出重围,https://www.qbitai.com/2026/08/472059.html,,,首颗AI芯片已进入量产,rss
"Thu, 13 Aug 2026 11:53:02 +0000",量子位,具身数据来了实战派！40天2轮融资数千万，瞄准物理AI基础设施,https://www.qbitai.com/2026/08/472060.html,,,重新定义物理AI数据基础设施,rss
