日期,账号,标题,链接,摘要,标签,正文,来源
"Wed, 12 Aug 2026 06:26:19 +0000",艾邦机器人,北极科考 | 华威科柔性覆冰监测电子皮肤随中国“雪龙”号赴北冰洋考察,https://www.aibangbots.com/a/12281,,,2026年7月，中国第16次北冰洋考察队正式起航,rss
"Wed, 12 Aug 2026 02:31:10 +0000",艾邦机器人,艾欧智能完成数亿元融资，加速推动机器人与具身智能走向规模化应用,https://www.aibangbots.com/a/12268,,,近日，机器人与具身智能数据基础设施企业艾欧智能（IO-AI Tech）宣布完成数亿元融资。,rss
"Wed, 12 Aug 2026 01:16:25 +0000",艾邦机器人,减速器在人形机器人、四足机器狗上的应用,https://www.aibangbots.com/a/12264,,,减速器是机器人关节伺服系统的核心，它负责将电机的高速低扭输出转换为低速高扭，以满足机器人运动所需的力矩和精度。,rss
"Wed, 12 Aug 2026 16:48:13 GMT",InfoQ 机器人,面壁智能正式启动IPO：中信证券辅导，端侧模型走向资本市场,https://www.infoq.cn/article/hMG80lZUX1kaJWpr58g1?utm_source=rss&utm_medium=article,,,"<div align=""right""><a href=""https://www.infoq.cn/article/hMG80lZUX1kaJWpr58g1?utm_source=rss&amp;utm_medium=article"">点击查看原文></a></div>",rss
"Wed, 12 Aug 2026 14:25:14 GMT",InfoQ 机器人,群青智能联合创始人&CEO 吴哲明博士确认出席AICon深圳，将分享“从真实产线定义智能——工业具身智能的物理 AI 闭环”,https://www.infoq.cn/article/b1V6WF6iUajJpND8VmCE?utm_source=rss&utm_medium=article,,,"<div align=""right""><a href=""https://www.infoq.cn/article/b1V6WF6iUajJpND8VmCE?utm_source=rss&amp;utm_medium=article"">点击查看原文></a></div>",rss
"Wed, 12 Aug 2026 13:10:55 +0000",量子位,国产具身智能创全球新纪录！以30%成本跑赢 Figure AI 45%效率，聪明的具身大脑成关键,https://www.qbitai.com/2026/08/471049.html,,,具身模型一小时狂拣1816件异形包裹,rss
"Wed, 12 Aug 2026 04:29:57 +0000",量子位,人形之外，擎羽把“身体”变成具身智能的新变量,https://www.qbitai.com/2026/08/470874.html,,,从柔性本体走向跨本体基础智能，让任务与世界知识延续,rss
"Thu, 13 Aug 2026 08:14:05 +0800",极客公园,Deepseek V4 Pro 正式版 API 上线，百万 Token 仅 6 元；腾讯计划近期发布 HY4 大模型；曝 iPhone18 至少涨价 2000 元起 | 极客早知道,http://www.geekpark.net/news/368747,,,"<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/8c/86/8c86802f195a722fe1adce1d63a4f425.png"" /></p><h1>DeepSeek V4 Pro 正式版 API 更新上线，多项测试性能接近 Fable 5</h1><p>8 月 13 日消息，DeepSeek V4 Pro 正式版正式发布，已更新至 API，调用模型名不变。</p><p>新版本增强了 Agent 能力，支持 Responses API 和 Codex 接入。</p><p>从官方群放出的评测对比表可以看到，DeepSeek V4 Pro 正式版（DeepSeek-V4-Pro-0813）在多项测试中接近 Fable 5 水平，相比之前的预览版能力大幅提升。</p><p>定价如下：</p><ul><li>百万 tokens 输入（缓存命中）：0.025 元</li><li>百万 tokens 输入（缓存未命中）：3 元</li><li>百万 tokens 输出：6 元</li></ul><p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/25/26/2526e3e1c8a89e7516e7f534d7614485.jpg"" /></p><p>（来源：IT 之家）</p><p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/68/0d/680d7fe9ba7fa9fa35d51e024852c2ad.png"" /></p><h1>腾讯发布 2026 年 Q2 财报，第二季度营收 2048 亿元，计划近期发布 Hy4</h1><p>腾讯控股发布 2026 年第二季度财报。财报显示，腾讯第二季度营收 2,047.9 亿元人民币，预估 2,028.4 亿元人民币；第二季度销售费用 118.7 亿元人民币，预估 119.6 亿元人民币；第二季度增值服务业务收入 984.1 亿元人民币。</p><p>腾讯表示，混元 Hy3 完成从 preview 到正式版的快速迭代，上线一周调用量较上一代模型增长超 68 倍，更大参数规模的 Hy4 也计划近期发布；WorkBuddy 及 CodeBuddy 持续领跑国内 AI 原生办公智能体赛道，易观数据显示 WorkBuddy6 月 PC 端访问量已突破 2000 万次；微信 AI 助手「小微」灰测有序放量中。</p><p>二季度，腾讯游戏收入同比增长 11%，其中本土游戏收入增长 17%，国际游戏收入按固定汇率计算增长 4%；营销服务收入同比增长 22%；金融科技及企业服务收入同比增长 9%，云服务受惠于 AI 增量贡献，国际业务拓展和通用云服务需求增长。（来源：新浪科技）</p><h1>曝小红书打造 AI 导购功能，官方暂无回应</h1><p>有消息称，小红书在打造全新的「AI 导购」功能，依托对话交互模式，在问答场景中直接推送商品卡片、挂载下单跳转链接。</p><p>对此消息，新浪科技向小红书官方进行求证，截至发稿暂无回应。</p><p>本月初，新浪科技独家获悉，小红书正全面提速 AI 战略，布局 AI 社交产品、AI 社区互动工具等方向，从后台技术应用转向前台自研、产品化与生态化全面竞速。在招聘平台检索发现，小红书近日密集招募 AI 应用研发人才，且部分岗位薪资给到了 30-60K/16 薪，最高年薪可达 96 万元，足见其加码 AI 方向的决心。</p><p>今年 5 月，小红书发布内部信，宣布新一轮组织升级，其中核心变化就包括，成立 AI 一级部门 Dots 和企业智能部，从产品技术和组织两方面加大对 AI 的投入。（来源：新浪科技）</p><h1>SpaceXAI 推出 GrokBot，对标 Anthropic 与 OpenAI</h1><p>据华尔街见闻报道，马斯克旗下 SpaceXAI 正式入局 AI 代理市场，推出可像真实同事一样处理工作的产品 Grok Bot。8 月 11 日，SpaceXAI 发布 AI 代理产品 Grok Bot，目前处于早期测试阶段。这是马斯克旗下 AI 业务追赶 Anthropic 和 OpenAI 的最新举措，也是 SpaceXAI 与 Cursor 深度合作的阶段性成果。</p><p>马斯克随即在 X 平台表示：「我们将在修复早期测试的基本问题、并于本周晚些时候发布 Grok",rss
"Wed, 12 Aug 2026 17:24:24 +0800",极客公园,实测 GenOffice Alpha 版：补上办公工作流最后一环｜AI 上新,http://www.geekpark.net/news/368744,,,"<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">作者｜lfei</span></p>
<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">编辑｜靖宇</span></p>
<p style=""text-align: left;"">&nbsp;</p>
<p style=""text-align: left;"">8 月 3 日， <a href=""https://mp.weixin.qq.com/s?__biz=MTMwNDMwODQ0MQ==&amp;mid=2653111529&amp;idx=1&amp;sn=fed610a0867c177d318ad29f75abbf85&amp;scene=21#wechat_redirect"" rel=""noopener noreferrer"" target=""_blank"">Genspark 创始人&amp;CEO 景鲲在 AGI Playground 2026 大会上发布了 GenOffice </a>。这是一款 AI 深度集成的本地 Office 客户端，其亮点在于打通了从 AI 生成到工作交付间的链路：通过 GenOffice 打造的软件工程框架，模型得以 <span style=""font-weight: bold;"">直接操作 Office 文件最复杂的底层格式，将生成内容转化为可编辑、可交付的 Word 和 PPT 成品。</span></p>
<p style=""text-align: left;"">Genspark 推出这样一款产品并不令人意外。</p>
<p style=""text-align: left;"">在 Genspark 的产品体系 AI WorkSpace 6.0 中，AI 办公套件是核心价值模块；Genspark 还上架了 <span style=""font-weight: bold;"">Microsoft Office 插件 </span>，让用户能在本地的微软 Office 软件里，直接调用 Genspark 的 AI 能力。在文档的转换层上，Genspark 已经积累了足够的经验。</p>
<p style=""text-align: left;"">让人意外的是 Genspark 推出 GenOffice 的方式：开源、免费，Alpha 版即日推出，后续交给用户、团队和 AI Agent 共建迭代。</p>
<p style=""text-align: left;"">据 Genspark 介绍，产品的 Alpha 版只由 <span style=""font-weight: bold;"">一名工程师用一周时间完成，消耗约 1 万美元的 AI Token。这款用最 AI-Native 的方式开发出的产品，也将用最 AI-Native 的方式迭代&mdash;&mdash;毕竟对于一款 Office 产品而言，用户的真实工作流也是最具价值的养料。</span></p>
<p style=""text-align: left;"">笔者此前从未接触过 Genspark 生态，但 GenOffice 直接调整文件格式的产品能力，让我产生了极大的兴趣。怀着好奇，笔者充值了 Genspark 基础套餐，开始了本次测试。</p>
<h1 style=""text-align: center;""><span style=""font-weight: bold; font-style: italic; color: #000000;"">01</span></h1>
<p style=""text-align: center;""><span style=""font-weight: bold;"">平替本地 Office？</span></p>
<p style=""text-align: left;"">在宣发中，GenOffice 被锚定为平替级的免费本地 Office：既不同于订阅制的 Microsoft 365，也不同于「免费+会员+广告」的 WPS。这个定位看似简单，实则门槛极高：处理一份看似简单的 Word 文档，其底层涉及复杂的几何计算与字体排版算法，背后涉及跨越数十年的代码积累。更要命的是，用户对办公软件的错误容忍度近乎为零。深厚的技术积淀、苛刻的用户需求，成为了传统 Office 厂商最深厚的壁垒。</p>
<p style=""text-align: left;"">不过，AI 赋予了 Genspark 挑战的机会。</p>
<p style=""text-align",rss
"Wed, 12 Aug 2026 17:14:56 +0800",极客公园,AI 入口，开始收费,http://www.geekpark.net/news/368740,,,"<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">作者｜宇航猿</span></p>
<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">编辑｜靖宇</span></p>
<p style=""text-align: left;"">&nbsp;</p>
<p style=""text-align: left;"">AI 将成为未来唯一的「入口」，这几乎是近年来的一个行业共识，但是这个「入口」如何变现，没人能给出答案。</p>
<p style=""text-align: left;"">不过，现在中国大厂的探索路径，已经清晰出现了。</p>
<p style=""text-align: left;"">8 月 10 日这个周末，两条看起来不相关的新闻几乎同时出现。</p>
<p style=""text-align: left;"">豆包宣布，通过其 AI 对话推荐跳转抖音来客成交的酒店订单，正式执行 12% 的独立佣金费率。</p>
<p style=""text-align: left;"">同一天，千问开放平台上线，顺丰、自如、盈米基金等十多个领域的服务商以 AI 智能体形态接入千问。</p>
<p style=""text-align: left;"">一个开始变现，一个把门打开。</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">这两件事放在一起看，信号非常明确&mdash;&mdash;AI 助手喊了两年的「新入口」故事，现在终于开始探索变现了。</span></p>
<h1 style=""text-align: center;""><span style=""font-weight: bold; font-style: italic; color: #000000;"">01</span></h1>
<p style=""text-align: center;""><span style=""font-weight: bold;"">12%，贵吗？</span></p>
<p style=""text-align: left;"">作为拥有超过 3.45 亿月活用户的超级 AI 应用，豆包此次曝出的手续费，无疑吸引了所有人的目光。</p>
<p style=""text-align: left;"">根据官方介绍，</p>
<p style=""text-align: left;"">12% 这个费率由 11.4% 的软件服务费和 0.6% 的支付手续费构成，从商家结算款里直接扣除，用户端不加价。</p>
<p style=""text-align: left;"">这件事真正值得注意的不是费率本身，而是一个身份转换。在此之前，豆包带来的酒店订单被直接合并为抖音自然流量，按 8% 的平台费率结算。从 8 月 10 日起，这些订单开始标注独立的「豆包」渠道来源，按 12% 的新费率结算。</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">说白了，字节正式把豆包从抖音的「附属流量」升级为一个独立的交易渠道。</span></p>
<p style=""text-align: left;"">这个定价有它的逻辑。抖音主站的酒店订单来自短视频和直播&mdash;&mdash;用户刷着刷着看到了一家酒店，这是「偶遇型」的泛流量。而豆包的订单来自用户主动提问，比如「北京北四环附近有什么性价比高的酒店」，这是「搜索型」的精准意图流量。就像搜索广告一直比信息流广告贵一样，意图越明确的流量越值钱。</p>
<p style=""text-align: left;"">12% 贵不贵？可以拉一条中国互联网的佣金标尺来看。</p>
<p style=""text-align: left;"">本地生活领域，携程的综合佣金率只有 4.4%，但这是被机票等低佣品类拉低的平均数。具体到酒店品类，携程、美团的佣金普遍在 15%~20%。抖音主站的酒旅订单约 8%。</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">豆包的 12% 卡在中间&mdash;&mdash;比抖音主站高了 50%，但比携程、美团的酒店佣金低了不少。</span></p>
<p style=""text-align: left;"">而且这里面还有一层容易被忽略的差异。豆包的公关团队在 8 月",rss
