日期,账号,标题,链接,摘要,标签,正文,来源
"Sat, 05 Sep 2026 14:46:15 +0000",量子位,押中SpaceX的硅谷老将，把票投给了一家中国世界模型公司,https://www.qbitai.com/2026/09/484683.html,,,当AI开始“预演”一场暴雨,rss
"Sat, 05 Sep 2026 04:18:54 +0000",量子位,这个世界模型训练完就“退场”，机器人反而更能干了,https://www.qbitai.com/2026/09/484611.html,,,如此“反骨”的方法，具体又是怎么实现的？,rss
"Sun, 06 Sep 2026 08:06:12 +0800",极客公园,传 iPhone 18 Pro 仅涨价 100 美元；Kimi、MiniMax 将在天猫开店；OpenAI 回应 Agent 攻击德国网站,http://www.geekpark.net/news/369875,,,"<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/4f/c5/4fc506f97f8dab95ef1303ef10e4773b.png"" /></p>
<h2>大模型厂商纷纷「卖 Token」，消息称 Kimi、MiniMax 等即将在天猫开店</h2>
<p>上海证券报 9 月 5 日独家获悉，Kimi、MiniMax、阶跃星辰等多家大模型厂商也都在与天猫接洽中，未来将入驻天猫开设官方旗舰店，开售 Token 订阅套餐产品。</p>
<p>本月 2 日，国产 AI 大模型厂商智谱正式入驻天猫，开设「智谱旗舰店」。用户可在淘宝 App 搜索「智谱旗舰店」进店下单。店铺目前已上架智谱 GLM Coding Plan 订阅套餐，基于 GLM-5.3 模型，并适配 ZCode、Claude Code、Codex 等 20 余款主流 Agent。</p>
<p>此前大模型厂商主要通过官网等自有渠道销售订阅产品。智谱此次入驻天猫，意味着大模型订阅服务开始进入传统电商平台的消费场景。</p>
<p>本月 3 日，天猫上线 Token 充值中心，首批接入阿里云、智谱、Kimi、MiniMax、DeepSeek 等国产大模型厂商。其中，阿里云和智谱为品牌官方旗舰店，剩余三家目前为代理模式。（来源：IT 之家）</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/b3/86/b3867b3fbf256320879a2d78af9210cf.png"" /></p>
<h2>OpenAI 回应旗下智能体攻进德国网站：将彻底改革「AI 模型攻击」事件披露机制</h2>
<p>9 月 4 日晚间路透社报道称，一群失控的 OpenAI 智能体劫持了一个德语维基网站，由此引发外界对 OpenAI 的质疑。对此，OpenAI 回应称，需要彻底改革 AI 模型攻击现实世界目标后，企业应在何时以及以何种方式对外披露此类事件。</p>
<p>OpenAI 9 月 5 日在 X 平台发文表示：「关于『维基事件』，也就是我们的智能体向多个互联网网站写入内容一事，我们早就应该制定标准，明确何时以及如何披露『误对齐』事件，而不仅仅是披露模型本身的误对齐属性。」</p>
<p>OpenAI 指出，过去通常把 AI 智能体出现非预期行为视为一个「研究问题」，但近期多起事件已经涉及现实世界目标，尤其是 Hugging Face 遭到入侵，表明有必要重新审视这种处理方式。</p>
<p>这是「维基事件」周五首次曝光后，OpenAI 第一次承认自身参与其中。另有报道称，OpenAI 知道这些智能体以这种方式失去控制，却没有披露这一「事件」。</p>
<p>消息在 AI 行业引发广泛担忧，外界开始质疑前沿 AI 系统的安全性，以及开发这些系统的企业是否可靠。OpenAI 在 X 平台解释称：「我们此前认为，维基事件属于一种失配情况，与过去安全报告中披露的失配案例类似。」</p>
<p>OpenAI 还称，新的事件披露框架正在制定，并将在「未来几周内」公布，同时呼吁整个 AI 行业建立明确标准，规范此类误对齐事件的披露方式。（来源：IT 之家）</p>
<p>&nbsp;</p>
<h2>赶在发布会前！运营商晒 iPhone 18 Pro/Ultra 售价：苹果这涨幅并不激进</h2>
<p>9 月 5 日，海外运营商曝光苹果新一代 iPhone 系列的终端定价相关数据。跨国电信运营商沃达丰泄露的埃及市场数据显示，iPhone 18 Pro、iPhone 18 Pro Max 当地售价较上一代涨幅约为 10%、11%，测算后其美国市场基准起售价约 1099 美元、1299 美元，较上一代上调约 100 美元，涨幅低于此前市场预测。</p>
<p style=""text-align: center;""><img height=""486"" src=""https://imgslim.geekpark.net/uploads/image/file/6a/2c/6a2ce1cea6873cf2b5a90d7f097e5916.jpg"" width=""782"" /></p>
<p>同步泄露的澳大利亚渠道信息显示，顶级折叠机型 iPhone Ultra 的 256GB、512GB、1TB 版本售价分别为 3699 澳元、4199 澳元、4699 澳元，测算其美国本土起售价区间为 1999 至 2099 美元，网传的超高溢价并未出现，汇总相关消",rss
