日期,账号,标题,链接,摘要,标签,正文,来源
"Tue, 04 Aug 2026 07:27:06 +0000",艾邦机器人,人形赋能·智领未来｜申昊科技携手宇树科技打造“电力+算力”双场景人形机器人,https://www.aibangbots.com/a/12064,,,申昊科技与宇树科技达成重磅深度战略合作。双方优势高度互补，采用宇树人形双臂上身+申昊工业轮式底盘的组合架构，围绕战略协同、联合研发、共创市场三维发力，打造工业人形机器人智能解决方案。,rss
"Tue, 04 Aug 2026 07:26:49 +0000",艾邦机器人,松延动力与鲸海拾贝达成战略合作，共启具身智能文旅场景应用新篇章,https://www.aibangbots.com/a/12058,,,近日，松延动力与鲸海拾贝围绕具身智能文旅场景生态落地展开深入交流，并达成战略合作。,rss
"Tue, 04 Aug 2026 07:24:37 +0000",艾邦机器人,矩侨工业连续完成Pre-A+&Pre-A++轮融资，织物具身电子皮肤量产突破,https://www.aibangbots.com/a/12046,,,矩侨工业获数千万融资，电子皮肤赋能具身智能、智能座舱、智慧养老等场景。,rss
2026-08-04 11:00:01+00:00,IEEE Spectrum Robotics,What Robotics Companies Think About the U.S. Foreign Robot Ban,https://spectrum.ieee.org/fcc-covered-list-mobile-robots,,,"<p>The U.S. Federal Communications Commission (FCC) “Covered List,” originally published in 2021, identifies communications equipment and services that it says …</p>",rss
2026-08-05 08:02:59  +0800,36氪,8点1氪丨马斯克个人财富亏掉2个“黄仁勋”；上海雪花膏母公司破产；日本半导体或面临断供,https://36kr.com/p/3925868626360706?f=rss,,,"<h2>今日热点导览</h2>
  <p>一架上海飞东京航班险撞机，两机垂直高度差仅约20米</p>
  <p>阿里云容器服务Agent开启商业化收费</p>
  <p>今年以来港股IPO数量同比增长132%，科技类公司占比过半</p>
  <p>苹果新任CEO据悉邀请已退休的硬件部门负责人加入管理团队</p>
  <p>SpaceX上市后首份财报前夕，“木头姐”持续加仓</p>
  <h2>TOP3大新闻</h2>
  <p><strong>马斯克个人财富缩水约合人民币2.45万亿元，相当于亏掉2个“黄仁勋”&nbsp;</strong></p>
  <p>据微信公众号“福布斯”消息，6月12日SpaceX上市，马斯克成为全球首位万亿富豪。但他13位数字的身家并未维保持多久——SpaceX的股价此前一路飞升，如今却跌回地表，马斯克在7月单月财富缩水3630亿美元（约合人民币2.45万亿元），创下纪录。这一缩水幅度，甚至超过了全球第2至第10大富豪中任何一人的全部身家，是英伟达CEO黄仁勋身家（1740亿美元）的两倍多。截至美国东部时间8月1日零点，排名第2的拉里·佩奇身家微增10亿美元，约为2920亿美元；而马斯克的身家约为6900亿美元，降至去年12月以来的最低水平。（红星新闻）</p>
  <p><strong>上海雪花膏母公司破产，财产不足以支付破产费</strong></p>
  <p>近日，上海市浦东新区人民法院出具（2024）沪0115破151号民事裁定书，宣告上海美兰化妆品有限公司（以下简称“美兰”）破产并终结清算程序。裁定书援引《企业破产法》第四十三条认为，企业现有财产不足以支付破产费用，管理人提请法院直接终止清算，普通债权人无财产可分配。</p>
  <p>据裁定书配套管理人清算数据，美兰可处置资产仅9.58万元，法院确认债权总额1941.67万元，账面资产连诉讼费、管理人报酬等基础办案成本都无法覆盖。这家诞生于1984年、依靠老上海雪花膏走红的本土老牌日化企业彻底退场。（红星新闻）</p>
  <p><strong>受地震影响，日本半导体或面临断供</strong></p>
  <p>7月28日，日本熊本县发生强震，多家半导体相关企业停产至今。九州地区因聚集大量半导体相关企业被称为“硅岛”，熊本县自1970年前后开始吸引半导体企业落户，逐步发展成为日本重要的半导体产业基地。</p>
  <p>熊本县内聚集着大量半导体相关企业和汽车工厂，有专家表示强震将给相关产业带来严重冲击。不仅是半导体，受零部件供应延迟影响，日本部分汽车制造商的生产也已受到波及。丰田汽车已决定暂停福冈县3家工厂的生产至8月5日，位于爱知县的田原工厂也将于8月3日至7日停产。本田宣布，熊本县大津町的摩托车工厂将停产至8月7日。日产汽车则决定，将福冈县两家工厂的部分生产线停工至8月5日。（金融界、央视网）</p>
  <h2>AI最前沿</h2>
  <p><strong>面壁智能开源全球首个Stencil优化AI系统</strong></p>
  <p>36氪获悉，8月4日，面壁智能联合OpenBMB开源社区正式发布并开源全球首个Stencil（模板计算）优化“自动研究+自动部署”大闭环AI系统ForgeStencil。实测数据显示，ForgeStencil在同精度（fp32）下几何平均加速2.35倍，混合精度下额外提速1.95倍。在真实应用场景中，通用CAE求解器hypre加速3.86倍，电磁仿真FDTD加速2.47倍，核反应堆中子学计算minisweep加速最高达5.78倍。</p>
  <p><strong>阿里云容器服务Agent开启商业化收费</strong></p>
  <p>36氪获悉，阿里云宣布，容器服务Agent将于北京时间9月3日10时增加新的技能中心和IM频道等功能并开启商业化收费。本次调整后，相关对话、自主智能运维及定时任务等功能将开始收费。调整过程不会影响存量用户已有设置和历史任务记录。容器服务Agent以积分（Credit）作为计量单位，免费开通，支持按量付费及预付费资源包抵扣。使用容器服务Agent的对话、自主智能运维及定时任务等功能时产生的模型资源消耗会折算为积分进行计费。</p>
  <p><strong>腾讯混元发布最新语音识别模型Hy ASR 3.0 preview</strong></p>
  <p>36氪获悉，腾讯混元正式发布新一代语音识别模型Hy ASR 3.0 preview。在开源评测集中，Hy ASR 3.0 preview在多语种的WER（Word Error Rate,词错误率）上都控制在3%左右，其中中文普通话WER 3.34%、英语WER 2.62%、粤语WER 3.12%。</p",rss
2026-08-04 23:46:22  +0800,36氪,“车企牌”电池相继上车，不只是PK宁德时代,https://36kr.com/p/3925382191708552?f=rss,,,"<p>“车企牌”电池正在不断涌现，并交付上车。鸿蒙智行推出了巨鲸电池，理想汽车推出了理想牌电池，不久前的7月30日晚，小米正式对外发布了龙甲电池。</p>
  <p>车企正试图通过自有电池品牌，将电池的每个技术点攥在手中，并抢占用户心智。</p>
  <p>这些汽车品牌的统一做法，就是“穿透式管理”，从电芯到电池包的技术和性能标准，车企全部主导定义，甚至部分参与电芯材料开发，并对核心供应链和生产制造环节全流程介入和监管。换句话说，“车企牌”电池是车企技术和标准的全面贯彻。</p>
  <p>“甚至电池厂的核心岗位招聘，车企都要参与面试把关。”有行业人士透露。</p>
  <p>这与过往的动力电池合作有着明显区别。据36氪了解，长期以来，头部动力电池公司如宁德时代等凭借技术实力，常常为车企供应相对成熟的系统级方案，尤其是旗舰类产品，如麒麟电池、神行电池等，车企能做的往往是提出需求，而定制开发的空间则相对有限。</p>
  <p>但从“车企牌”电池的核心指标来看，车企往往有着更多的开发需要。比如巨鲸电池主打全温度周期的热防护标准，小米龙甲电池强调2000次循环和500J底部撞击标准等，理想汽车牌电池也追求“8年16万公里电池健康度不低于75%”，蔚来也提出过15年循环寿命的电池研发计划。</p>
  <p>此外，动力电池做为电动汽车的心脏级零部件，常年占据30%成本结构，车企来把控电池开发和生产的全流程，从长期来看，也能确保供应链的稳定性和成本掌控力。</p>
  <p>综合来看，车企对动力电池的全流程掌控需要，注定了“车企牌”电池今天开枝散叶的局面。</p>
  <p>但与此同时，动力电池头部供应商宁德时代，也在竭力塑造消费者对宁德时代电池性能、安全性的认知。在机场、高铁站、商超等人群密集的地方，经常能看到“选电车看电池，认准宁德时代”的广告语。</p>
  <p>据36氪了解，即便理想i6为欣旺达电池多给了两年延保，但售出的车型中，仍有超过一半的消费者选择了宁德时代电池。</p>
  <p>因此，当车企试图将自有电池品牌推向台前时，经受过宁德时代“Intel Inside”战略洗礼的消费者，往往会提出这样的质疑——车企自研的电池包能否比得上宁德时代。</p>
  <p>某种程度上，这似乎是个目前难有定论的问题。</p>
  <p>不少电池行业人士对36氪表示，宁德时代的壁垒在于工艺管控能力、生产一致性。而且无论车企的自建产线，还是二三线电池厂商都很难在短时间内，追平宁德时代的这一优势，因为“一定要有足够大的生产体量，才能做有效的筛选和试错”。</p>
  <p>通常情况下，更高的一致性，意味着更低的续航跳水、补能异常，甚至安全事故的概率。但车企自建的产线，和二三线电池厂的生产一致性水平，也可以通过增加测试工序等手段进行一定弥补。</p>
  <p>而且，尽管在产品一致性上不及宁德时代，但“车企牌”电池亦有其优势。</p>
  <p>36氪从一些行业人士处了解到，“车企牌”电池的产品定义、设计、生产通常由车企进行全方位管控，部分自研电池的车企，还会监督到电池的二三级子零件供应商，以确保最终的产品性能符合自己的高标准。</p>
  <p>除此之外，车企对整车更为熟悉，因此“车企牌”电池的BMS算法，“在应用端可能比电池厂更好”。或许未来相当一段时间内，“车企牌”电池都会保持与宁德时代相持而行。</p>
  <h3><strong>生产一致性，宁德时代的竞争壁垒</strong></h3>
  <p>动力电池行业历经多年发展，动力电池技术、设备的成熟与普及，令各电池厂商间的技术代差逐渐拉齐。</p>
  <p>电池产品间的竞争，越来越聚焦于生产的一致性。</p>
  <p>许多行业人士都承认，宁德时代的电芯一致性，领先一众二三线电池厂。一个相对直观的体现是——“国内电芯，唯一不分档次的厂家就是宁德时代，因为都是一样的”。</p>
  <p>“一致性不是那么好做的”。有行业人士告诉36氪，几乎所有的生产要素都会到动力电池的工艺控制，包括现场的湿度、温度、杂质、原材料选用等。</p>
  <p>而电池厂商“一定要有足够大的生产体量，才能做有效的筛选和试错”。因而短期内，二三线电池厂商的生产一致性，很难赶上宁德时代。</p>
  <p>而一致性之所以重要，是因为它能够直接影响到电池包的容量，甚至有可能引发安全事故。有电池行业人士表示，即便是行业公认更具本征安全的磷酸铁锂电池包，同样强调生产的一致性。</p>
  <p>评估生产一致性的直接指标，是压差、内阻差异、尺寸差异等。</p>
  <p>有行业人士举了个例子解释压差对电池包容量的影响：“原本电池包按100度电的容量去设计，但如果其中有颗电芯的电压只能达到98度，那BMS的均衡策略，会",rss
2026-08-04 18:27:21  +0800,36氪,自研高性能分布式解决方案，「芯晓科技」将芯片电源签核周期从几周缩短至几天 | 水下项目,https://36kr.com/p/3925067918227591?f=rss,,,"<p>一枚先进制程芯片从设计、验证，到流片、制造，需要经过上百个环节。其中电源签核（Sign-off）是设计流程最后的、也最重要的一环，相当于建造一栋大楼时对全楼供电系统进行竣工验收。</p>
  <p>具体来说，电源核签是通过对电源网络的上亿个节点进行整体分析，测试供电网络的功耗、电压降与电迁移等表现，从而决定芯片能否顺利进入量产流片。一旦结果出错，不仅导致芯片性能不达标，甚至会造成流片失败。</p>
  <p>由于芯片电源网络是由大量金属线组成的互联结构，因此电源签核时必须将其作为一个整体进行分析，“相当于求解一个维度高达数亿的稀疏矩阵方程，完成一次需要大量时间。”「芯晓科技」总经理谢卓解释道。</p>
  <p>而随着芯片工艺制程不断缩小，晶体管数量指数级增加，电源核签的周期被进一步不断拉长，一次完整的电源签核往往需要几周时间之久。如果分析结果不理想，设计工程师还需要根据反馈修改版图，再重复一轮电源签核。</p>
  <p>针对这一行业痛点，芯晓科技运用分布式矩阵求解技术，打破电源核签效率制约芯片交付周期瓶颈。公司推出的首款数字电源签核工具“IcPower”，支持7nm等先进工艺，能满足百亿门级芯片电源，在典型测试用例中速度是国外大厂工具的4.5-8.5倍，目前已在国内多家芯片厂商的芯片设计环节投入使用。</p>
  <h2><strong>1.采用分布式求解技术，提高电源核签效率3-10倍</strong></h2>
  <p>谢卓在创办芯晓科技以前，曾任国际知名EDA厂商Cadence电源完整性分析工具Voltus的中国技术团队负责人。</p>
  <p>据他介绍，分布式求解的核心技术思路，来源于计算数学领域的“区域分解法”，通过将电源核签的巨大矩阵拆分为许多可以高效计算的小矩阵，用多台计算机并行运算，从而缩短整体求解时间，每个分析工具在求解大规模问题时候都会采用类似方法，但难点在于各个工具求解的效率会参差不齐。</p>
  <p>谢卓表示，难点同时集中在算法和工程两方面。</p>
  <p>一是要切得“科学”，也就是针对电源网络稀疏矩阵的特性，采用基于图论的智能区域分解算法，将百亿级的全局矩阵科学地切分为多个子矩阵，最小化子矩阵间的边界耦合。</p>
  <p>二是需要运用分布式矩阵求解器优化节点间的通信拓扑和消息传递机制，大幅降低分布式环境下的网络通信开销。在分布式切分求解过程中，还需要引入严格的数值稳定性控制算法，确保分布式计算与单机高精度求解器的结果，达到数学意义上的严格一致，从而满足先进制程严苛的签核精度要求。</p>
  <p>芯晓科技正是凭借团队在算法和工程层面的技术积累和创新，使IcPower相比国外工具速度提升上3-5倍，“对于一些耗时特别长的动态分析，部分测试水平可以做到10倍以上的速度提升，以前需要跑几周的电源签核，IcPower几天就能完成。”谢卓表示。</p>
  <p class=""image-wrapper""><img src=""https://img.36krcdn.com/hsossms/20260804/v2_210c834470104dd991a6a16952f88525@5688585_oswg35555oswg1031oswg440_img_000?x-oss-process=image/format,jpg/interlace,1"" /></p>
  <p class=""img-desc"">IcPower实测性能对比</p>
  <h2><strong>2.抓住国产替代红利，致力于打造芯片设计平台</strong></h2>
  <p>和许多近几年出现的EDA工具初创企业一样，芯晓科技切入电源签核赛道也是想抓住当下EDA行业“国产替代”的窗口期。</p>
  <p>全球EDA市场长期被Synopsys（新思科技）、Cadence（楷登电子）、Siemens EDA（西门子EDA）三大巨头垄断。中国银河证券报告显示，三家在全球市场中的份额约为74%。而近年来不断升级的中美科技博弈，使越来越多国内芯片开始重视使用国产工具，将其作为替代或备份方案。</p>
  <p>基于性能自信，芯晓科技在商业模式上选择对标国外工具，以软件授权为主，定价与国外工具相当。目前IcPower已在国内多家芯片设计公司投入使用，覆盖国产CPU、GPU、智驾芯片等类型，并在应用过程中借助客户的广泛设计用例与测试平台，不断迭代自身产品性能。</p>
  <p>谢卓透露，2025年芯晓科技营收达到数百万元。“软件的研发成本基本是固定的，客户越多，盈利能力就能越强。”</p>
  <p>但他也坦承，拓展客户是当下商业化的难点。“客户往往担心创业公司难以保证产品供应的持续性，因此首选规模更大的企业规模，虽然大公司",rss
2026-08-04 16:31:59  +0800,36氪,一层“布”涨价270%之后，投资机构用数亿元投票玻璃基板，巽霖科技完成近2亿元B轮融资,https://36kr.com/p/3924953058605444?f=rss,,,"<p><strong>【导语】当前，电子级玻纤布价格较2025年低点翻倍、FR-4覆铜板涨幅超270%，AI封装载板部分交期拉长至6个月以上，有机基��供给危机持续加深。在此背景下，</strong>国内玻璃基板领军企业巽霖科技宣布完成近2亿元B轮融资——这已是该公司半年内完成的第三轮次融资。本轮由英诺基金、千乘资本、海目星、光莆股份、同鑫资本等新股东投资，金雨茂物、海通开元、北岸产投等老股东持续加码。募集资金将主要投向玻璃基板产能扩张、封装产线建设投产、制程精度升级研发，以及光通讯前沿应用布局。</p>
  <p>&nbsp;</p>
  <h2><strong>股东结构：市场化资本、产业资本、区域国资同席，老股东再投票</strong></h2>
  <p>这一轮的股东阵容，呈现鲜明的“三重奏”：以英诺基金、千乘资本、同鑫资本为代表的市场化硬科技基金，长期深耕半导体与先进制造；以海目星、光莆股份为代表的产业资本，分别来自激光装备与光通讯两大与玻璃基板强相关的产业上下游；以金雨茂物、北岸产投、海通开元为代表的市场化基金、区域国资与券商系资本，则在本轮继续加码。多元股东的持续投入，为公司的产业化进程提供了坚实支撑，也是对其量产进展最直接的确认。</p>
  <h2><strong>行业背景：载板紧缺与涨价潮叠加，玻璃基板迎来确定性窗口</strong></h2>
  <p>这轮融资本质上是一次对时间窗口的卡位。AI算力狂飙之下，封装载板持续紧缺，ABF载板供不应求、交期一再拉长；而当芯片封装尺寸不断突破、光模块速率持续跃升，有机基板在热膨胀匹配、高频损耗与布线密度上，正在逼近物理极限。巨头的选择已经给出答案——英特尔宣布玻璃芯基板（GCS）进入大规模量产，台积电CoPoS试产线年内通线，三星、SKC Absolics加速送样与量产准备。玻璃基板，正在从巨头的实验室走向产业的中心。</p>
  <p>&nbsp;</p>
  <h2><strong>替代大逻辑：一层“布”卡住了有机基板，三大应用走向全面玻璃基化</strong></h2>
  <p>比巨头动向更值得关注的，是有机基板的成本地基正在松动。2025年下半年以来，PCB产业链经历了一轮罕见涨价：覆铜板价格大幅攀升，PCB厂商全线调价。而涨价的真正源头，不是铜箔，也不是树脂，而是一层“布”——电子级玻璃纤维布。它的价格较2025年低点翻倍，行业库存降至历史极低位，高端低介电产品被海外厂商高度垄断，而扩产以年计。这层“布”的紧缺，短期内无解。</p>
  <p>玻纤布之所以不可或缺，是因为它是有机基板的“骨架”，核心使命之一正是热应力匹配：AI服务器PCB层数不断攀升，为了让有机基材的热膨胀系数贴近硅芯片，行业不得不大量使用昂贵的低CTE特种玻纤布。换句话说，<strong>有机基板正在用越来越贵的“布”，去模仿玻璃与生俱来的性能</strong>——玻璃CTE天然与硅匹配，介电损耗远低于有机材料，而且根本不需要这层“布”。当“补丁”的成本越过材料替代的成本拐点，玻璃基化就从可选项变成了必然项。但“玻璃基化”并不是一件事，而是三件事——三大应用的需求逻辑、技术指标与产业节奏，截然不同：</p>
  <p><strong>第一类，PCB替代——一场由经济性驱动的存量替代，节奏最快。</strong>面向AI服务器背板、高频通信板与新型显示基板，替代对象是FR-4与传统PCB，逻辑简单而锋利：性能更好，成本更低。信号损耗显著降低，显示与HDI基板场景的综合成本大幅优于PCB基板。这一类比拼的是大规模制造与成本控制能力，是当前放量的主战场——2026年，将是玻璃基PCB的替代元年。</p>
  <p class=""image-wrapper""><img src=""https://img.36krcdn.com/hsossms/20260804/v2_347f933315314b7bacecb2f9f9a631a8@5284654_oswg3007833oswg2000oswg1123_img_png?x-oss-process=image/quality,q_80/format,jpg/interlace,1"" /></p>
  <p class=""img-desc"">玻璃基板替代传统PCB示意图</p>
  <p><strong>&nbsp;</strong></p>
  <p><strong>第二类，ABF载板替代——由可靠性与供给安全驱动，节奏居中。</strong>面向超大尺寸FC-BGA封装、Chiplet与HBM高带宽存储，替代被海外垄断且持续紧缺的载板。这是一场硬指标的对决：翘曲、线宽线距、孔径与深宽比全面收紧，考验的是精细制程与可靠性验证的深水区能力。相关产品将",rss
2026-08-04 16:18:21  +0800,36氪,东山精密涨停背后：36氪企业全情报捕捉市场机会,https://36kr.com/p/3924913931679877?f=rss,,,"<p class=""image-wrapper""><img src=""https://img.36krcdn.com/hsossms/20260804/v2_2e223b3f6f994090a3d4944d9162d843@5284654_oswg647144oswg1080oswg459_img_000?x-oss-process=image/format,jpg/interlace,1"" /></p>
  <p class=""img-desc"">36氪企业全情报带你发现涨停背后的机会</p>
  <h3><strong>开篇，先给大家送个福利</strong></h3>
  <p>最近不少朋友在体验企业全情报，我们也准备了一波奖品回馈大家。</p>
  <p><strong>体验小程序，完成15秒阅读+任意订阅一家企业即可免费参与抽奖。</strong></p>
  <p>奖品有影石Insta360&nbsp;Luna&nbsp;Ultra、运动相机挂脖支架、36氪航天徽章。</p>
  <p><strong>祝大家都能中奖，点击即可参与：👇</strong></p>
  <p><a href=""https://lucky.nocode.com/v2/s/8VhKju6Ehgy"" rel=""noopener noreferrer"" target=""_blank""><strong>https://lucky.nocode.com/v2/s/8VhKju6Ehgy</strong></a></p>
  <p class=""image-wrapper""><img src=""https://img.36krcdn.com/hsossms/20260804/v2_a300936239e240d7a177ec6cfcc50c1d@5284654_oswg1734654oswg943oswg1668_img_png?x-oss-process=image/quality,q_90/format,jpg/interlace,1"" /></p>
  <p class=""img-desc"">扫码抽奖！</p>
  <h3><strong>今日A股收盘数据</strong></h3>
  <p><strong>上证指数：</strong>3822.28&nbsp;点，+0.33%</p>
  <p><strong>深证成指：</strong>13885.71&nbsp;点，+3.25%</p>
  <p><strong>创业板指：</strong>3488.97&nbsp;点，+5.64%</p>
  <p>&nbsp;</p>
  <h3><strong>东山精密8月4日上涨10.00%</strong></h3>
  <p><strong>179.09 &nbsp;+16.28 &nbsp;+10.00%</strong></p>
  <p>当日开盘价168.76；交易量86.82万手；</p>
  <p>换手率6.26%；放量幅度0.07%</p>
  <p>3日涨幅+10.69%；5日涨幅-6.09%</p>
  <p>成交额：153.29亿；总市值：3280.23亿</p>
  <p>&nbsp;</p>
  <h3><strong>舆情分析：积极信息占比超九成，市场关注度持续提升</strong></h3>
  <p>近日，深市存储产业链相关公司接连释放积极信号，业界看好行业高景气度持续性。大普微发布自研SLC+QLC双模SSD方案，已进入客户灰度验证阶段，其2026年半年度预计归母净利润12亿-13.5亿元。江波龙控股股东提议回购股份，2026年上半年预计归母净利润92亿-110亿元。北京君正上半年预计营业总收入约39.89亿元，净利润10.79亿-12.82亿元。东山精密虽非存储企业，但业务相关，看好AI算力产业中长期发展，将依托协同布局把握机遇。</p>
  <p><strong>｜事件正负面性质分析</strong></p>
  <p>截止8月4日，此事件匹配的到全网舆情信息总量为56<strong>条</strong>，正面信息<strong>52条</strong>，占比<strong>92.9%</strong>，负面信息<strong>0条</strong>，占比<strong>0%</strong>，中性信息<strong>4条</strong>，占比<strong>7.1%</strong>，<strong>事件舆论呈现出显著正面的倾向。</strong></p>
  <p class=""image-wrapper""><img src=""https://img.36krcdn.com/hsossms/202608",rss
2026-08-04 14:32:05  +0800,36氪,Kimi K3与DeepSeek V4之间，隔着原生多模态的时间差,https://36kr.com/p/3924826666301831?f=rss,,,"<p>&nbsp;</p>
  <p>文 | 李炤锋</p>
  <p>编辑 | 张雨忻</p>
  <p>“长链任务如果只通过代码层面的反馈，误差可能会不断累积，最终效果会非常差。”谈及原生多模态的意义，一位多模态研究员表示，“视觉是一种更准确的反馈，也更贴近用户意图。”</p>
  <p><strong>过去一年，Coding与Agent能力不断改写大模型的排名，也成为AI最快兑现商业价值的场景之一。与此同时，随着Agent开始接管更多长链任务，越来越多的通用大模型开始匹配原生多模态能力。</strong></p>
  <p>今年1月，OpenAI发布的一份企业使用报告显示，在研发岗位最常使用的三类ChatGPT工具中，图片上传排在搜索和数据分析之后，位列第三。</p>
  <p>随着Agent开始生成网页、操作软件并检查运行结果，视觉的作用正在逐步进化：它不再只是用户交给模型的一张图片，也开始成为模型检查工作、发现错误和调整行动的反馈。</p>
  <p>刚刚过去的7月，月之暗面发布Kimi K3。这款总参数2.8万亿、支持100万token上下文的MoE（混合专家模型），在Coding和长程Agent能力之外，出色的原生多模态能力是K3的另一个标签。</p>
  <p>所谓原生多模态，是让图像、文字等数据从预训练或持续预训练阶段就共同塑造主模型，并在后训练中继续优化，最终参与Agent（智能体）的感知与决策。</p>
  <p>K3发布后曾以1679分登顶Arena Frontend Code榜单。该榜单由用户盲选模型生成的可交互网页进行排名，评判的不只是代码能否运行，也包括页面的最终效果。</p>
  <p><strong>浏览器开发平台Puter曾在测试网页中制造5处视觉偏差，K3对照目标页与运行页截图，全部找出且没有误报。得益于出色的原生多模态能力，K3能够看懂代码运行后的视觉问题，为下一轮修改提供依据。Kimi方面将这种在代码与截图之间反复迭代的方式称为“vision in the loop”：模型写完代码后查看页面，再根据视觉结果继续调整。</strong></p>
  <p>这些都离不开模型的多模态能力。</p>
  <p>除了月之暗面，阿里和字节也沿着原生多模态路线，将视觉作为通用模型的基础能力，在最新的Qwen3.8-Max和Doubao-Seed-2.1上，可以看到视觉理解和多模态输入都作为主要功能出现。</p>
  <p>而在国产模型头部梯队的另一边，DeepSeek、智谱和腾讯混元的最新通用基座则仍以文本输入为主。</p>
  <p>此前，DeepSeek创始人梁文锋曾说：“把AI训练做好，并不需要世界模型，甚至不用多模态。”但他同时表示：“多模态最终还是要做的。”</p>
  <p><strong>这两句话并不矛盾。各家公司对多模态的长期价值没有太大分歧，真正的分歧在于时机和代价。</strong></p>
  <p>在Coding快速迭代的阶段，要不要同步训练视觉，以及为此投入多少模型容量、数据和算力，正在影响国产头部模型的技术路线。</p>
  <p>&nbsp;</p>
  <h3>&nbsp;Agent为什么需要眼睛</h3>
  <p>做原生多模态，到底有没有必要？随着当下Agent的任务链越来越长，这个问题开始变得愈发具体。</p>
  <p>“很多时候我就喜欢截图输入。”一位来自某头部基模团队的研究员表示，“可能文本也能做到同样的需求，但是你得花很多上下文去描述视觉关系。”</p>
  <p>视觉输入能够带来更多便利，但不同用户对它的感知并不相同。“一般人可能感觉不到，但对于开发者群体而言，有多模态还是很方便。”</p>
  <p><strong>不过，这种需求并不只属于开发者。上述研究员提到，他身边一些并非AI从业者的用户，使用模型最多的场景之一就是制作PPT。“更专业的人可能需要更多能力、更多模态，但普通用户也会在具体场景里用到它。”</strong></p>
  <p>纯文本模型本身仍然“看不见”。实际系统可以调用OCR或独立VLM（视觉语言模型），先把图片转换成文字、标签、坐标或结构化字段，再交给文本模型推理。这些工具可以通过Agent框架或MCP接入，用“外挂”的形式获得视觉能力。</p>
  <p>从这个角度来看，“如何让Agent获得视觉输入能力”这个命题，不仅是一个基模研发问题，也是一道产品题。</p>
  <p>如果系统调得足够好，上游一个大的语言模型做中枢，下游放一个小一些的视觉模型，就像老板把一件小事分配给员工，足以解决大量普通任务。</p>
  <p>但在多模态研究员看来，这种模块化方案仍有边界。“如果调用一个工具，总归还是两个模型：一个LLM是‘瞎子’，下",rss
