日期,账号,标题,链接,摘要,标签,正文,来源
"Fri, 11 Sep 2026 01:36:27 +0000",艾邦机器人,机器人触觉怎么实现？一文看懂五大技术路线,https://www.aibangbots.com/a/12794,,,机器人触觉传感器主要形成了五条技术路线：压阻式、压电式、电容式、光学式和磁感应式,rss
"Thu, 10 Sep 2026 04:23:53 +0000",艾邦机器人,知行具身首发千赫兹视触觉传感器 Imprint X,https://www.aibangbots.com/a/12738,,,知行具身推动了视触觉感知领域从“一帧一帧看”，转向“变化发生就能捕捉”的神经拟态触觉感知，成为行业首家事件驱动/神经拟态视触觉传感器走出实验室进入市场的公司，而 Imprint X 也与市场主流视触觉传感器形成了代际差异。,rss
2026-09-10 18:22:35+00:00,IEEE Spectrum Robotics,Robots Are Learning to Feel,https://spectrum.ieee.org/tactile-data-robots,,,<p>Dexterous manipulation remains one of the biggest barriers keeping robots from successfully tackling a wide range of everyday tasks. A …</p>,rss
"Thu, 10 Sep 2026 19:28:14 GMT",InfoQ 机器人,破除人形崇拜！京东用“狼族”军团重做物理AI,https://www.infoq.cn/article/FKI7zch6mfFHuNB72eyZ?utm_source=rss&utm_medium=article,,,"<div align=""right""><a href=""https://www.infoq.cn/article/FKI7zch6mfFHuNB72eyZ?utm_source=rss&amp;utm_medium=article"">点击查看原文></a></div>",rss
"Thu, 10 Sep 2026 17:10:55 GMT",InfoQ 机器人,把 FDE 送进企业之后：谁救火，谁背责，谁赚钱？,https://www.infoq.cn/article/uQvqV8VlMl5g8OqQKwDG?utm_source=rss&utm_medium=article,,,"<div align=""right""><a href=""https://www.infoq.cn/article/uQvqV8VlMl5g8OqQKwDG?utm_source=rss&amp;utm_medium=article"">点击查看原文></a></div>",rss
"Thu, 10 Sep 2026 08:17:05 +0000",量子位,全球首个3D原生城市世界模型ABot-Earth 0.7发布，构建AI理解真实世界的入口,https://www.qbitai.com/2026/09/486900.html,,,9月10日，阿里巴巴集团旗下高德正式发布全球首个3D原生城市世界模型ABot-Earth 0.7。,rss
"Thu, 10 Sep 2026 07:44:00 +0000",量子位,这个新开源的世界模型只有1.3B，单卡就能实时跑！,https://www.qbitai.com/2026/09/486716.html,,,轻量版LingBot-World 2.0,rss
"Thu, 10 Sep 2026 04:55:38 +0000",量子位,一周连发6个模型！这家公司把具身智能的闭环跑通了,https://www.qbitai.com/2026/09/486625.html,,,模型可以开源，部署经验不能,rss
"Thu, 10 Sep 2026 01:39:13 +0000",量子位,打造10万卡国产算力集群推出JoyAI世界模型，京东发布物理AI建设最新成果,https://www.qbitai.com/2026/09/486436.html,,,9月9日，以“JoyAI · 跃迁物理世界”为主题的JDDiscovery-2026京东全球科技探索者大会在北京举行,rss
"Fri, 11 Sep 2026 08:31:05 +0800",极客公园,DeepSeek V4.1 Flash 发布；罗永浩狂喷苹果折叠屏：全是抄的；马斯克「无聊公司」融资 30 亿美元｜极客早知道,http://www.geekpark.net/news/370157,,,"<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/02/46/02461570cef3be0765e22e7338d372d3.png"" /></p>
<h1>DeepSeek V4.1 Flash 模型正式发布：全面超越 V4 Pro、原生多模态视觉理解，最高降价 60%</h1>
<p>9 月 10 日消息，深度求索今日正式发布<strong>DeepSeek V4.1 Flash 模型</strong>。这是其全新模型结构系列中的最小尺寸的模型，具备原生多模态视觉理解能力。</p>
<p>新模型结构的设计初衷是：能力上限更高、推理速度更快、吞吐更大、可扩展到更大参数模型。</p>
<p><strong>DeepSeek V4.1 Flash 为 552B 参数的 MoE 模型</strong>，采用了全新的 Causal-Encoder-Decoder 结构，输入和输出不对称，输入激活只有 8B，输出激活 16B，成本显著低于已知的同尺寸模型。同时，V4.1 Flash 还采用了新的预训练方式、经过了更大规模的强化学习后训练，在基准测试中，成功超越了包括 DeepSeek V4 Pro 在内的一众旗舰模型的智能水平。</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/94/0d/940d70424a34fcbbd7893bd4a52a566d.jpg"" /></p>
<p>▲ DeepSeek-V4.1-Flash 与主流前沿模型在 Agentic Benchmark 上的性能对比</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/0e/a4/0ea4e422f3ec9f17985b8aa44dfb0c9a.jpg"" /></p>
<p>此外，新一代模型大幅减少了 KV Cache 缓存的大小，与上一代模型相比，<strong>对 HBM 的需求减少到 1/4，对 SSD 的需求减少到 1/8</strong>。</p>
<p>在 Agent 使用场景中，缓存命中的费用往往占比较高，对 KV Cache 的压缩大幅降低了 Agent 类任务的使用成本。</p>
<p>如图展示了 DeepSeek 在减少上下文存储方面的持续进展。相对于初代模型，KV Cache 是原来的 1/437。</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/20/de/20defb68efc52dae05fd91aa9e74c9a5.jpg"" /></p>
<p>DeepSeek V4.1 Flash 已同步上线 DeepSeek API，原生支持多模态，<strong>将模型名称更改为 deepseek-flash 即可调用最新的 V4.1 Flash 模型</strong>。</p>
<p>旧版本模型 V4 Flash 与 V4 Flash Vision Exp 现已下线，出于兼容考虑，模型名 deepseek-v4-flash、deepseek-v4-flash-vision-exp 将被暂时路由到 V4.1 Flash。（来源：CnBeta）</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/cf/12/cf12b95a1f18da3725c01d6a730815e1.png"" /></p>
<h1>罗永浩狂喷苹果首款折叠屏手机 iPhone Duo，屏下摄像头、阔屏比例、内外屏无缝等全是「抄的」</h1>
<p>9 月 10 日消息，罗永浩今日在微博发文，以个人视角点评苹果旗下首款折叠屏手机 iPhone Duo。</p>
<p>罗永浩表示，这台手机的折叠机形态、屏下摄像头、矮胖的阔屏比例、侧面 Dock 栏、外屏 / 内屏无缝接力、多角度悬停、钛合金 3D 打印铰链盖全是「抄的」。</p>
<p>他还认为，苹果搞不定内屏折痕问题，所以不惜降低屏幕体验用雾面屏掩饰。这部分确实是原创的，但这又导致前摄在雾面屏下会糊，只好在雾面屏上单独磨亮前摄那一小块，<strong>导致本来要",rss
"Thu, 10 Sep 2026 21:39:07 +0800",极客公园,走出聊天框，Agent 开始进入现实世界,http://www.geekpark.net/news/370064,,,"<p style=""text-align: center;"">&nbsp;</p>
<p>头图来源：小度</p>
<p>Agent 正在寻找自己的「身体」。</p>
<p>过去一年，智能体的主要工作对象是文件、网页和软件。它们可以搜索资料、分析数据、制作 PPT，也可以打开浏览器、调用工具，把一句需求推进成一份可供交付的结果。衡量一个 Agent 能力的方式，也集中在任务能不能做完、执行路径是否稳定、生成结果是否可用。</p>
<p>但屏幕里的 Agent 仍然与现实世界隔着一层。</p>
<p>它可以替人整理一周的工作记录，却不知道会议室里刚刚讨论了什么；能够生成一套家庭计划，却看不到孩子有没有开始写作业；可以给出老人用药的注意事项，却无法确认提醒是否被听见。文件、网页和软件提供的是结构化信息，现实世界则充满持续变化的人、物品、声音和空间。Agent 想从数字工具变成更普遍的行动者，首先要获得感知和触达这些信息的入口。</p>
<p>硬件由此进入 AI 公司的视野。</p>
<p>9 月 2 日，腾讯在 WorkBuddy 生态发布会上展示了九款联名智能硬件，覆盖智能眼镜、录音卡、麦克风、耳机和桌面陪伴设备。它们承担声音、图像等现实信息的采集，WorkBuddy 负责后续的理解、规划和执行。海外市场也在发生相似变化：Google 将 Gemini for Home 带入音箱、摄像机、门铃和家庭应用，Amazon 则借助 Alexa+连接智能家居、外部服务与多种终端。</p>
<p>Agent 的竞争开始越过聊天框，进入设备与现实场景。</p>
<p>9 月 8 日，在 2026 小度新品发布会上，小度也给出了自己的方案。百度搭子全面落地小度添添闺蜜机 Ultra、小度智能屏 X9 Ultra、小度智能摄像机 C1500 和小度智能音箱 Pro Max。百度搭子提供需求理解、任务规划、工具调用和执行反馈等能力，超能小度则依托小度的硬件体系，对这些能力进行家庭化适配。</p>
<p>家庭只是这次被摆到台前的场景。更值得关注的问题是，当 Agent 获得摄像头、麦克风、屏幕、传感器以及设备控制能力之后，它会怎样改变人与硬件之间的关系？</p>
<p><strong>一、Agent 为什么需要一个硬件载体</strong></p>
<p>软件世界为 Agent 提供了一套相对清晰的操作规则。</p>
<p>网页有链接和按钮，文件有明确格式，应用提供接口，任务结果也容易检查。用户让 Agent 搜集资料、整理表格或者制作演示文稿，它可以把目标拆成多个步骤，再借助浏览器、代码环境和各类工具逐项完成。即便执行中途出错，也能够撤回、修改或重新生成。</p>
<p>现实世界的任务往往更加模糊。</p>
<p>一个人说「帮我看着孩子写作业」，其中可能同时包含坐姿、专注度、休息时间和作业进度；一句「照看一下老人」，背后涉及活动情况、用药提醒和突发风险。人类能够结合环境和常识理解这些要求，传统智能设备却只能等待一句准确的指令，或者按照提前设定的规则运行。</p>
<p>过去的智能音箱和智能家居已经解决了部分连接问题。用户可以开灯、播放音乐、查看摄像头，但交互通常围绕单次命令展开。设备听见「打开空调」，完成动作后任务便告结束。Agent 带来的变化，是把一次设备控制放入更长的任务过程中：先理解用户想解决什么问题，再结合环境信息规划步骤，调用合适的设备，并根据执行结果调整后续动作。</p>
<p>于是，硬件对于 Agent 的意义也发生了变化。摄像头提供视觉，麦克风提供声音，屏幕负责呈现信息，传感器描述环境，家电和服务构成可被调用的行动端。硬件让 Agent 接触到软件之外的信息，也让它拥有影响现实环境的可能。</p>
<p>这正是百度搭子需要硬件载体的原因。</p>
<p>百度搭子此前强调「交付即惊艳」，希望把办公任务从回答问题推进到生成可直接使用的成果。但无论报告、网页还是应用，其交付终点依然位于软件内部。小度拥有智能屏、摄像机、闺蜜机和智能音箱等多种设备，可以为同一套 Agent 能力提供视觉、语音、内容和控制入口。</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/89/cc/89ccddb4e856d26b6739bad752324ee6.png"" /></p>
<p>图片来源：小度</p>
<p>双方的分工也相对清晰。百度搭子负责理解目标、拆解任务、调用工具和处理反馈；超能小度负责识别家庭成员、连接设备，并将通用能力转化为家庭可以理解和使用的产品功能。用户不必研究每台设备能做什么，只需要表达自己希望完成的事",rss
