日期,账号,标题,链接,摘要,标签,正文,来源
2026-08-07 16:00:01+00:00,IEEE Spectrum Robotics,Video Friday: Drones Go Heavy in DARPA Lift Challenge,https://spectrum.ieee.org/video-friday-heavy-lift-drone,,,"<p><span>Video Friday is your weekly selection of awesome robotics videos, collected by your friends at </span><em>IEEE Spectrum</em><span> robotics. We also …</span></p>",rss
"Fri, 07 Aug 2026 15:18:09 GMT",InfoQ 机器人,黎曼动力携手光轮智能与诺亦腾机器人，推进2026年百万小时具身智能数据建设,https://www.infoq.cn/article/hI2W3XTUo2GNylxSXDC8?utm_source=rss&utm_medium=article,,,"<div align=""right""><a href=""https://www.infoq.cn/article/hI2W3XTUo2GNylxSXDC8?utm_source=rss&amp;utm_medium=article"">点击查看原文></a></div>",rss
"Sat, 08 Aug 2026 08:40:23 +0800",极客公园,王兴兴回应 DeepSeek 投资宇树：将展开重点合作；微信内测朋友圈 AI 新功能；美国科学家首次用AI设计出新型病毒｜极客早知道,http://www.geekpark.net/news/368565,,,"<p style=""text-align: center;""><img height=""392"" src=""https://imgslim.geekpark.net/uploads/image/file/97/ae/97aecad40cde1f30c2da9f5db912d431.png"" /></p>
<h2 style=""text-align: left;"">OpenAI 因 Astra 模型的网络安全能力而放缓其发布进程</h2>
<p style=""text-align: left;"">据报道，OpenAI 表示，不能排除其即将推出的模型 Astra 具备「关键性」网络能力，这促使 OpenAI 扩大安全测试范围，并暂停不符合更严格安全要求的内部活动。这是人工智能模型网络能力快速提升的最新迹象。</p>
<p style=""text-align: left;"">OpenAI 表示，在对即将推出的模型之一 Astra 进行内部评估后，「我们无法排除其具备关键性网络能力」。在发布 Astra 之前，OpenAI 将扩大针对该模型的测试和安全措施，并按照公司 2023 年首次发布的「准备框架」要求，放缓 Astra 的开发进程，直到建立适当的安全防护措施。</p>
<p style=""text-align: left;"">OpenAI 还表示，Astra 并未参与 Hugging Face 漏洞攻击事件。这可能是首个人工智能前沿实验室因网络安全担忧而承诺放缓自身 AI 模型开发进程的案例。（消息来源：财联社）</p>
<p style=""text-align: center;""><img height=""392"" src=""https://imgslim.geekpark.net/uploads/image/file/51/68/51680178b90f2ab9eadc8f825198d1e9.png"" /></p>
<h2 style=""text-align: left;"">Anthropic 为自研 AI 芯片开出高薪，模型训练岗位薪资高于实际造芯工程师</h2>
<p style=""text-align: left;"">8 月 7 日消息，Anthropic 目前正在扩大内部芯片设计团队，并计划开发自研 ASIC 芯片。</p>
<p style=""text-align: left;"">与此同时，公司不同芯片相关岗位之间出现了明显的薪资差异：负责训练 AI 模型进行芯片设计的研究工程师岗位，年薪最高可达 85 万美元，而实际负责设计 Anthropic 首款 ASIC 芯片的工程师岗位，薪资范围约为 32 万至 48.5 万美元。外媒称其为「薪酬倒挂」。</p>
<p style=""text-align: left;"">Anthropic 发布的招聘信息显示，负责「Chip Design RL（芯片设计强化学习）」方向的研究工程师岗位，主要工作是构建强化学习环境，让 Claude 等 AI 模型学习芯片设计流程，包括 RTL 代码生成、验证以及物理设计优化等内容。</p>
<p style=""text-align: left;"">两类岗位所需技能存在较高重合度，包括完整 ASIC / FPGA 设计流程、RTL 到流片、UVM 与形式化验证、物理设计、PPA（性能、功耗、面积）优化、DFT（可测试性设计）以及 EDA 工具使用经验等，同时都要求具备实际芯片开发经验。</p>
<p style=""text-align: left;"">目前，Anthropic 尚未公布首款自研 ASIC 芯片的具体规格、制造合作方或发布时间。公司此前表示，其芯片战略将采用多芯片路线，以满足人工智能模型训练和推理需求。（消息来源：IT 之家）</p>
<p style=""text-align: center;""><img height=""2361"" src=""https://imgslim.geekpark.net/uploads/image/file/df/42/df42541ed633af112db377c7df516240.png"" /></p>
<h2 style=""text-align: left;"">Meta 成为第三家承认其模型「失控」并入侵了另一家公司的 AI 巨头</h2>
<p style=""text-align: left;"">8 月 7 日消息，继 OpenAI 和 Anthropic 之后，Meta 近日也成为两周内第三家承认其 AI 模型发生越界并对其他公司系统实施「黑客行为」的科技巨头。</p>
<p style=""text-align: left;"">据报道，这一事件发生于 AI 安全评估公司 Irregul",rss
"Fri, 07 Aug 2026 23:22:09 +0800",极客公园,AI Agent 手机下半场，「国标」L3 只是起点,http://www.geekpark.net/news/368561,,,"<section class=""wx-article-wrap"">
<section><img alt=""图片"" class=""rich_pages wxw-img"" src=""https://imgslim.geekpark.net/uploads/image/file/21/2f/212f8fe435c1eb97faf0a110907d65a5.png"" style=""display: block; width: 661px !important; vertical-align: bottom; margin: 0px; height: auto !important;"" /></section>
<section class=""js_darkmode__bg__0 js_darkmode__0"">一张证书，暂时还不会影响到你「换机」节奏。</section>
<section>
<p style=""text-align: left; margin: 0px;""><strong class=""js_darkmode__1"" style=""font-family: Optima-Regular, PingFangTC-light, 'PingFang SC', 'PingFang TC', 'Hiragino Sans GB', 'Microsoft YaHei', sans-serif; font-size: 16px; font-weight: bold; line-height: 1.5; color: #375474; text-align: left;"">作者｜张勇毅</strong></p>
<p style=""text-align: left; margin: 0px;""><strong class=""js_darkmode__2"" style=""font-family: Optima-Regular, PingFangTC-light, 'PingFang SC', 'PingFang TC', 'Hiragino Sans GB', 'Microsoft YaHei', sans-serif; font-size: 16px; font-weight: bold; line-height: 1.5; color: #375474; text-align: left;"">编辑｜靖宇</strong></p>
</section>
<p style=""font-family: Optima-Regular, PingFangTC-light, 'PingFang SC', 'PingFang TC', 'Hiragino Sans GB', 'Microsoft YaHei', sans-serif; font-size: 16px; line-height: 1.75; margin: 0px 8px 24px;"">时间回到 7 月下旬，如果你关注智能手机领域的话，应该会记得大量手机厂商开始官宣自己的手机，通过了国家人工智能 L3 级认证。</p>
<img alt=""图片"" class=""rich_pages wxw-img"" src=""https://imgslim.geekpark.net/uploads/image/file/79/de/79de2bcccde2e30d8958082ae0d1853c.jpeg"" style=""display: block; vertical-align: bottom; margin: 0px 8px 25px; width: 677px !important; height: auto !important;"" />
<p style=""font-family: Optima-Regular, PingFangTC-light, 'PingFang SC', 'PingFang TC', 'Hiragino Sans GB', 'Microsoft YaHei', sans-serif; font-size: 16px; line-height: 1.75; margin: 0px 8px 24px;"">这轮集体官宣的起点，是 2026 年 7 月 17 日公布的首批人工智能终端智能化分级测试结果。</p>
<p style=""font-family: Optima-Regular, PingFangTC-light, 'PingFang SC', 'PingFang TC', 'Hiragino Sans GB', 'Microsoft YaHei', sans-serif; font-size: 16px; line-height: 1.75; margin:",rss
"Fri, 07 Aug 2026 17:40:17 +0800",极客公园,打破机器人「数据焦虑」，穹彻智能想建一条「训练数据」生产线,http://www.geekpark.net/news/368553,,,"<p style=""text-align: left;"">如果说 2025 年是具身智能爆发的一年，那么今年，行业竞争已经开始进入新的阶段。</p>
<p style=""text-align: left;"">从国内外越来越多机器人公司发布新产品，到资本持续加码，具身智能正成为 AI 领域最受关注的方向之一。但随着行业快速发展，一个新的共识正在形成：真正限制机器人进化速度的，不再只是模型，而是数据。</p>
<p style=""text-align: left;"">与大语言模型可以利用互联网海量文本不同，机器人需要学习的是现实世界中的操作能力。一次抓取、一段搬运、一场整理任务，都需要真实发生，并同步记录视觉、动作、轨迹等多模态信息。如何持续获得高质量数据，并将这些数据快速转化为模型能够学习的数据集，成为越来越多具身智能企业面临的新挑战。</p>
<p style=""text-align: left;"">作为国内具身智能企业，穹彻智能一直围绕「数据&mdash;训练&mdash;部署」构建机器人基础设施。近期，穹彻智能联合阿里云打造了一套云端自动化数据处理产线，希望将机器人数据处理从依赖人工、单机运行的模式，升级为能够规模化运转的工业化流程，为模型迭代提供持续的数据支撑。</p>
<h1 style=""text-align: center;""><span style=""font-weight: bold; font-style: italic; color: #000000;"">01</span></h1>
<p style=""text-align: center;""><span style=""font-weight: bold;"">机器人时代，真正稀缺的是数据</span></p>
<p style=""text-align: left;"">对于具身智能而言，数据难题不仅在于「采不到」，更在于「处理不了」。</p>
<p style=""text-align: left;"">穹彻智能采用 UMI（Universal Manipulation Interface）方案进行数据采集。操作人员只需手持设备完成抓取、开门、搬运等自然动作，设备便会同步记录第一视角画面、夹爪位姿、运动轨迹等信息，为机器人训练提供高质量操作数据。</p>
<p style=""text-align: left;"">但真正的挑战，往往发生在采集之后。</p>
<p style=""text-align: left;"">这些原始数据要进入模型训练，还需要经历位姿恢复、鱼眼相机标定、动作切分、多模态标注等多个复杂环节。其中，视觉 SLAM 重建需要消耗大量 GPU 算力；鱼眼图像需要逐帧去畸变和标定；连续动作需要切分为一个个原子任务，并配上对应的自然语言描述；随着采集规模扩大，数百小时的视频数据也给整体计算带来巨大压力。</p>
<p style=""text-align: left;"">这些工作不仅计算量庞大，而且整个流程涉及多个处理环节，一旦某一步中断，就可能影响整批数据重新计算。对于具身智能企业来说，数据处理正在成为一项新的基础设施能力，需要能够支撑弹性算力、自动调度、全流程追踪以及模型训练协同的完整体系。</p>
<h1 style=""text-align: center;""><span style=""font-weight: bold; font-style: italic; color: #000000;"">02</span></h1>
<p style=""text-align: center;""><span style=""font-weight: bold;"">一条跑在云上的数据产线，</span></p>
<p style=""text-align: center;""><span style=""font-weight: bold;"">如何让机器人训练提速</span></p>
<p style=""text-align: left;"">为了解决这些问题，穹彻智能联合阿里云搭建了一套端到端的 UMI Data + AI Pipeline，希望把原本零散的数据处理流程，变成一条自动化运行的数据生产线。</p>
<p style=""text-align: left;"">在数据处理阶段，阿里云 MaxCompute MaxFrame 提供分布式计算能力，将视频去畸变、SLAM 位姿恢复、多模态标注等任务拆分到云端资源上并行执行。过去需要依赖单机完成的大规模计算，如今能够根据任务规模灵活扩展算力，提升整体处理效率。同时，大模型能力也直接嵌入数据处理流程，实现动作片段的自动语义标注，降低人工标注成本。</p>
<p style=""text-align: left;"">整个数",rss
