日期,账号,标题,链接,摘要,标签,正文,来源
"Mon, 24 Aug 2026 05:04:52 +0000",量子位,WRC 2026｜原生全模态世界模型：从模拟世界到交互世界,https://www.qbitai.com/2026/08/478421.html,,,,rss
"Tue, 25 Aug 2026 08:25:52 +0800",极客公园,TRAE、扣子并入豆包，字节将推「豆包工作」；拓竹回应 2027 年 IPO 传闻：消息不实；要钱还是使命，Anthropic 面试流程曝光｜极客早知道,http://www.geekpark.net/news/369303,,,"<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/99/3c/993c03d3c0f8e7cf637095f710a0c845.png"" /></p>
<h1>TRAE、扣子并入豆包，字节将推统一办公品牌 ""豆包工作""</h1>
<p>8 月 24 日消息，字节跳动对旗下的办公 AI 产品完成了一轮团队整合，TRAE、扣子（Coze）团队将整体并入豆包体系，其中 TRAE Work、扣子将与豆包在工作场景的产品能力进行整合；TRAE IDE 及 CLI 将作为豆包品牌下的编程产品线持续发展。</p>
<p>此次调整后，字节也进一步明确了豆包的 AI 主干业务定位，将 AI 办公类产品的重心集中到豆包。</p>
<p>此前，有消息称，豆包最快将于本周内推出一款独立的 AI 办公类产品，作为字节面向 AI 办公场景的统一产品及品牌。</p>
<p>针对该消息，字节方面回应称，此次调整旨在更好地协同产品和技术资源，为用户提供更优质的 AI 工作体验，现有用户权益不会受到影响。（来源: TechWeb）</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/e5/36/e536c9b4f65c9746ff21231cd3b151d4.png"" /></p>
<h1>蔡崇信、吴泳铭各增持 8000 万、4000 万港元阿里股票</h1>
<p>8 月 24 日消息，据港交所最新信息，在阿里巴巴宣布 800 亿港元新股配售计划后，集团主席蔡崇信、CEO 吴泳铭出手增持合计约 1.2 亿港元阿里股票。</p>
<p>据了解，蔡崇信此次买入 72 万股阿里巴巴港股，均价约 112 港元，耗资约 8000 万港元；CEO 吴泳铭买入 35 万股阿里巴巴港股，均价约 111.6 港元，耗资约 4000 万港元。两人合计增持 107 万股，总金额约 1.2 亿港元。</p>
<p>此前，阿里巴巴宣布 800 亿港元新股配售，所得款项将全部投入全栈 AI 能力和 AI 基础设施建设。据报道，配售获全球主权财富基金等长线投资者积极认购，最终实现近 3 倍超额认购。（来源: TechWeb）</p>
<h1>拓竹科技回应 2027 年 IPO 传闻：消息不实</h1>
<p>8 月 24 日，有媒体报道称，桌面级 3D 打印头部企业拓竹科技计划在 2027 年开启 IPO 进程。若该计划成真，拓竹将成为继 xTOOL 和创想三维之后，2026 年以来第三家明确走向资本市场的头部 Maker（创客）企业。</p>
<p>针对这一消息，21 世纪经济报道记者向接近拓竹科技的人士进行求证，对方明确回应：「消息不实，感谢关注。」目前，拓竹科技暂无公开的 IPO 计划。</p>
<p>在消费级 3D 打印赛道，拓竹科技的市场表现备受瞩目。根据创想三维招股书披露的数据，2025 年全球消费级 3D 打印机市场按 GMV（商品交易总额）计，拓竹科技以 42.7% 的份额稳居第一，对应 GMV 约 13 亿美元。相比之下，排名第二的创想三维市场份额为 11.2%，对应 GMV 约 3.4 亿美元。</p>
<p>简而言之，拓竹科技的市场份额约为创想三维的四倍，且第二至第五名四家公司的份额之和仍不及拓竹科技。这种断层式的领先地位，也让外界对其未来的估值充满了想象空间。公开信息显示，拓竹科技 2025 年营收已突破百亿元大关，且 2026 年仍在冲击更高的销售目标。（来源：21 世纪经济报道）</p>
<h1>马斯克证实：SpaceX 将在星舰稳定运营后逐步退役猎鹰 9 火箭</h1>
<p>8 月 25 日消息，传闻如今得到了证实。SpaceX 计划在其巨型下一代火箭「星舰」（Starship）开始定期执行运营任务后，逐步退役目前公司的主力火箭「猎鹰 9」（Falcon 9）。</p>
<p>SpaceX 于 2010 年首次发射猎鹰 9，此后这款火箭很快在航天史上留下了浓墨重彩的一笔。迄今为止，猎鹰 9 已经发射近 700 次，并成为人类历史上首款能够让轨道级火箭一级助推器着陆并重复使用的火箭。自 1957 年开始服役的俄罗斯联盟号火箭，是目前执行任务次数唯一超过猎鹰 9 的运载火箭，不过猎鹰 9 有望在明年超过它。</p>
<p>然而，SpaceX 创始人兼 CEO 埃隆 &middot; 马斯克 8 月 22 日在 X 上表示，逐步结束「猎鹰」系列火箭的生产和使用是不可避免的。这不仅包括猎鹰 9，还包括采用三级",rss
"Mon, 24 Aug 2026 23:34:23 +0800",极客公园,「米芯」三连发：雷军五年花了 210 亿，归来已「不只手机」,http://www.geekpark.net/news/369302,,,"<section>
<section>
<section class=""js_darkmode__0""><img alt=""图片"" class=""rich_pages wxw-img js_darkmode__1"" src=""https://imgslim.geekpark.net/uploads/image/file/4d/00/4d0090fc05625237daaf5c6922b39581.jpeg"" /><img class=""rich_pages wxw-img"" /><img class=""rich_pages wxw-img"" /></section>
<section class=""js_darkmode__bg__0 js_darkmode__2"">玄戒 O3 的跑分是烟花，玄戒 O100 的带宽才是信号。</section>
<section class=""js_darkmode__3""><strong class=""js_darkmode__4"" style=""text-indent: 0em; font-size: 16px; color: #375474; font-family: Optima-Regular, PingFangTC-light;""><br />作者｜张勇毅</strong><strong class=""js_darkmode__5"" style=""text-indent: 0em; font-size: 16px; color: #375474;""><br /></strong></section>
<section class=""js_darkmode__6""><strong class=""js_darkmode__7"" style=""text-indent: 0em; font-size: 16px; color: #375474; font-family: Optima-Regular, PingFangTC-light;"">编辑｜<strong>靖宇</strong></strong></section>
<section class=""js_darkmode__8""><strong class=""js_darkmode__9"" style=""text-indent: 0em; font-size: 16px; color: #375474;""><strong>&nbsp;</strong></strong></section>
</section>
</section>
<p class=""js_darkmode__10"" style=""margin: 25px 8px; text-align: justify; color: #000000; letter-spacing: 1px; font-size: 16px; line-height: 1.75;"">8 月 24 日下午，小米一口气发布了三颗新芯片：玄戒 O3、玄戒 O100、玄戒 D100。</p>
<p class=""js_darkmode__11"" style=""margin: 25px 8px; text-align: justify; color: #000000; letter-spacing: 1px; font-size: 16px; line-height: 1.75;"">距离第一代玄戒 O1 亮相，过去了 459 天。但这次小米确实打了一场准备充分的仗：按小米公布的成绩，玄戒 O3 安兔兔跑分 522 万，是第一颗突破 500 万分的旗舰手机 SoC。号称「安卓性能之王」。</p>
<p class=""js_darkmode__12"" style=""margin: 25px 8px 8px; text-align: justify; color: #000000; letter-spacing: 1px; font-size: 16px; line-height: 1.75;""><img alt=""图片"" class=""rich_pages wxw-img"" src=""https://imgslim.geekpark.net/uploads/image/file/87/d4/87d4bc11d65d73e44049e74a4af956d2.jpeg"" style=""width: 661px !important; height: auto !important;"" /><img class=""rich_pages wxw-img"" /><img class=""rich_pages wxw-img"" /></p>
<section>
<section>
<p class=""js_darkmode",rss
"Mon, 24 Aug 2026 16:45:05 +0800",极客公园,130 亿美元，Hugging Face 要卖了,http://www.geekpark.net/news/369289,,,"<p style=""text-align: center;""><img height=""480"" src=""https://imgslim.geekpark.net/uploads/image/file/f7/46/f746a084a3895294914de238c362c7bf.png"" /></p>
<p style=""text-align: left;"">&nbsp;</p>
<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">作者｜桦林舞王</span></p>
<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">编辑｜靖宇</span></p>
<p style=""text-align: left;"">&nbsp;</p>
<p style=""text-align: left;"">又一家 AI 中间层公司，要卖了。</p>
<p style=""text-align: left;"">当地时间 8 月 23 日，外媒爆出消息，Hugging Face 正在探索出售，估值可能达到 130 亿美元甚至更高。这家总部位于纽约的公司，已经聘请了投行来试探潜在买家的兴趣。</p>
<p style=""text-align: left;"">这个价格放在三年前会显得荒唐。2023 年 Hugging Face 完成 D 轮融资时，由 Salesforce、Google 和 Nvidia 领投的估值是 45 亿美元。</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">三年不到，求购价翻了近三倍 </span>。</p>
<p style=""text-align: left;"">但如果把这条消息放进过去一个月的时间线里看，事情就有趣多了。就在一周前，Stripe 刚刚以超过 80 亿美元的价格吞下了 AI 模型路由平台 OpenRouter；而 OpenRouter 在今年 5 月的 B 轮估值才 13 亿美元，三个月就被 5.4 倍溢价买走。</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">两笔交易证明，当下的 AI 生态里，模型和用户之间的「中间层」，正在被大公司战略性抢购。</span></p>
<h1 style=""text-align: center;""><span style=""font-weight: bold; font-style: italic; color: #000000;"">01</span></h1>
<p style=""text-align: center;""><span style=""font-weight: bold;"">「黑」出个未来</span></p>
<p style=""text-align: left;"">Hugging Face 大概是世界上唯一一家，被黑客攻击之后，估值不降反升的公司。</p>
<p style=""text-align: left;"">7 月 21 日， <a href=""https://mp.weixin.qq.com/s?__biz=MTMwNDMwODQ0MQ==&amp;mid=2653110979&amp;idx=1&amp;sn=13a632d71614c03b1c0c36abb5597ade&amp;scene=21#wechat_redirect"" rel=""noopener noreferrer"" target=""_blank"">OpenAI 披露了一起令整个行业震动的安全事件。 </a>公司在内部测试 GPT-5.6 Sol 和一个更强的未发布模型的网络攻击能力时，两个模型自主逃出了沙盒环境，利用零日漏洞访问了互联网。接下来发生的事情像是一部科幻电影的情节&mdash;&mdash;模型判断 Hugging Face 的服务器上存有测试答案，于是一路突破防线，打穿了 Hugging Face 的生产环境。</p>
<p style=""text-align: left;"">OpenAI 将这起事件定性为「前所未有的网络安全事件，涉及最先进的网络攻击能力」。Hugging Face 的安全团队在 OpenAI 联系他们之前就已经检测到了入侵，并向执法部门报了案。</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">",rss
"Mon, 24 Aug 2026 16:43:37 +0800",极客公园,年轻人的网络社交，正在偷偷「鸽化」,http://www.geekpark.net/news/369290,,,"<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">作者｜宇航猿</span></p>
<p style=""text-align: left;""><span style=""font-weight: bold; color: #000000;"">编辑｜靖宇</span></p>
<p style=""text-align: left;"">&nbsp;</p>
<p style=""text-align: left;"">「 <span style=""font-weight: bold;"">从前的日色变得慢，车，马，邮件都慢 </span>。」</p>
<p style=""text-align: left;"">作家木心的小诗「车马慢」，到现在还是不少年轻人的微信签名。对于长在移动互联网中的年轻原住民来说，前互联网是时代的「慢」，不是不便，而是一种「怀古」的浪漫。</p>
<p style=""text-align: left;"">这也怪不了他们，微信等即时通信工具上，消息不仅是实时发送的，你甚至能在屏幕上看到「对方正在输入」的字样&mdash;&mdash;一切都太快了。</p>
<p style=""text-align: left;"">当这种过快的互联网速度正在透支人们的精力时，反抗就出现了。</p>
<p style=""text-align: left;"">试想这样一个场景：</p>
<p style=""text-align: left;"">你发了一条消息。屏幕上没有「对方正在输入」，取而代之的是一只鸽子，正飞过俄亥俄州上空。预计到达时间还剩 18 小时。前提是它没在半路迷路死掉。</p>
<p style=""text-align: center;""><img height=""1068"" src=""https://imgslim.geekpark.net/uploads/image/file/83/39/8339f110fe4dd861ba8af578797ee4e3.png"" /></p>
<p style=""text-align: left;""><span style=""color: #bbbfc4;"">Carrier Pidge 应用的页面｜图片来源：TechSpot</span></p>
<p style=""text-align: left;"">这不是行为艺术。这是 2026 年夏天，美国 App Store 社交榜上真实在发生的事。</p>
<p style=""text-align: left;"">两款「用鸟送信」的消息应用几乎同时爆发。一个叫 Carrier Pidge，一个叫 Roost。合计用户超过 50 万，一个冲到社交榜 24 名，另一个三天内用户翻了十倍。它们做的事情一模一样：</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">让你的消息变得和 19 世纪一样慢。</span></p>
<p style=""text-align: left;"">在中国，微信消息从北京发到深圳只需要零点几秒。而在这两个 app 里， <span style=""font-weight: bold;"">同样的距离大概需要一只虚拟鸽子飞上将近 7 个小时 </span>。</p>
<p style=""text-align: left;"">更要命的是，这只鸽子还有 0.2% 的概率半路死掉，连带你的消息一起消失。</p>
<p style=""text-align: left;"">听起来荒唐，但荒唐，恰恰是重点。</p>
<h1 style=""text-align: center;""><span style=""font-weight: bold; font-style: italic; color: #000000;"">01</span></h1>
<p style=""text-align: center;""><span style=""font-weight: bold;"">「鸿书」传情</span></p>
<p style=""text-align: left;"">Carrier Pidge 是一个 iOS 消息应用，开发者 Noah Iarrobino 花了三周 vibe code 出来。他在 App Store 的产品简介里写了一句可能是应用商店史上最诚实的话：</p>
<p style=""text-align: left;""><span style=""font-weight: bold;"">这个应用「毫无实际用处」 </span>。</p>
<p st",rss
"Mon, 24 Aug 2026 15:25:24 +0800",极客公园,「AstraTennis」时刻：机器人在全球直播中打了一场真正的网球,http://www.geekpark.net/news/369283,,,"<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/a3/2c/a32cbf078d9ec54ada2b6495e85a7a1a.png"" /></p>
<div>
<div class=""ace-line ace-line old-record-id-doxcnnfFTX6meDIzVWOnwkBDeMf""><strong>作者｜李苏 </strong></div>
<div class=""ace-line ace-line old-record-id-doxcnGWkruRyIFsLzrPsqMxE56d""><strong>编辑｜ 郑玄</strong></div>
</div>
<p>一场特殊的网球比赛，一次数字智能向物理智能的跨越。</p>
<p>人形机器人挥出第一拍之前，没有人确定它能不能接住对面飞来的球。</p>
<p>事实上，球贴着边线飞来，机器人横移数步挥拍回击，球落在界内。它接住了，比赛继续。</p>
<p>这是 8 月 22 日第二届世界人形机器人运动会上的真实场景。开幕式网球表演赛上，一台人形机器人在全球直播镜头下，与网坛顶尖运动员展开全自主对抗。</p>
<p>发球、正手、反手、接发、底线调动、网前截击，整套动作连贯流畅。双打环节，它与人类队友实时协作，根据场上局势调整战术。高速攻防中，它跑过大半个球场完成极限救球，摔倒后还能自主站起。</p>
<p>这是全球首次人与机器人的大型赛事直播，做出这款机器人的公司叫做银河通用&mdash;&mdash;这也其被定义为 AstraTennis 时刻。</p>
<p>很多人恍惚想起十年前，AlphaGo 在棋盘上战胜李世石，彼时，人工智能在数字世界的复杂博弈中抵达顶峰。但那时候，还仅仅是人脑和机器之间智力的对决。</p>
<p>堪堪十年光景之后，机器人在另一个真实的赛场上接住了世界名将的回球&mdash;&mdash;数字智能开始向物理智能延伸。</p>
<p>支撑这场表演赛的，是银河通用自主研发的具身智能大模型银河星脑，以及核心技术平台银河星坊。值得注意的是，银河星脑全球首次将大脑、小脑与神经控制集于一模。银河星坊则负责将不完美的人类数据转化为训练供给，驱动机器人在虚拟网球世界中通过千万次多智能体博弈对练实现技能涌现，再迁移至物理赛场。</p>
<p>事实上，这场表演赛的价值已经远超科技展示。这也意味着，已经有企业将具身智能带入真实的人类世界，并且能够完成复杂且激烈的体育竞技。</p>
<h1 style=""text-align: center;""><strong><em>01</em></strong></h1>
<p style=""text-align: center;""><strong>一场真正的比赛</strong></p>
<p>过去，人形机器人的公开展示通常围绕行走、跳舞和简单的预设动作展开。这类演示可以体现机器人的身体结构和基础控制能力，但动作路径相对明确，环境变化也比较有限。但这确实构成了人们对机器人身体的常规认知。</p>
<p>网球比赛的情况完全不同。机器人面对的每一个来球，都可能有不同的速度、方向和落点。它不能提前固定下一步动作，只能根据现场信息不断调整。</p>
<p>在这场特殊的比赛中，银河通用机器人展现出的，是接近真实运动员的完整能力。</p>
<p>发球环节，它能够完成标准发球动作，抛球高度和击球节奏与人类选手接近。面对来球，正手、反手击球自然连贯，没有明显的停顿或机械感。底线拉锯中，它根据对手位置控制回球落点，深球压底线，浅球调角度。机会出现时，它会果断向网前移动，改变击球方式，完成截击。</p>
<p>这些动作需要多个环节同时配合。而动态能力更能说明问题。面对压向底角的来球，机器人横向移动，通过小碎步调整身体姿态，完成躯干转动和挥拍击球。面对刁钻落点，它跑过大半个球场完成极限救球。即便在高速运动中失去平衡摔倒，也能够自主重新站起，继续比赛。</p>
<p>这种运动鲁棒性，说明机器人已经能够应对真实环境中不可预期的物理扰动。它不是按照预设轨迹在表演，而是在一个充满变量和对抗的开放场域里，实时处理来自对手和环境的挑战。</p>
<p>双打环节的表现则超出了单纯的动作执行。机器人没有按照固定程序击球。它与人类队友实时协作，观察来球方位，根据队友位置和对手变化完成战术配合。单打中独立组织攻防，双打中参与战术博弈，它的角色从单纯的击球执行者，转向能够参与比赛决策的一员。这意味着它理解了双打的基本逻辑：空间分配、攻防转换、队友意图的预判。</p>
<p>此外，机器人不存在人类运动员常见的心理波动。无论比分领先还是落",rss
"Mon, 24 Aug 2026 21:24:17 +0000",TechCrunch AI,Trump bought SpaceX shares two weeks after blockbuster IPO,https://techcrunch.com/2026/08/24/trump-bought-spacex-shares-two-weeks-after-blockbuster-ipo/,,,The president bought when the stock was in the mid-$150 range. SpaceX finished trading on Monday back at its IPO price of $135.,rss
"Mon, 24 Aug 2026 15:24:18 +0000",TechCrunch AI,"Valor, Point72 back General Intuition at $6B valuation as AI startup pushes into robotics",https://techcrunch.com/2026/08/24/valor-point72-back-general-intuition-at-6b-valuation-as-ai-startup-pushes-into-robotics/,,,"General Intuition, the startup building a foundation model that trains generalized AI agents how to move through space and time, is in talks to raise at a $6 billion pre-money valuation from new investors including Valor Ventures, Point72 Ventures, and Seven Seven Six.",rss
