日期,账号,标题,链接,摘要,标签,正文,来源
2026-09-25 16:00:04+00:00,IEEE Spectrum Robotics,Video Friday: Life’s Better With a Little Robot Goose,https://spectrum.ieee.org/video-friday-goose-household-robots,,,"<p><span>Video Friday is your weekly selection of awesome robotics videos, collected by your friends at </span><em>IEEE Spectrum</em><span> robotics. We also …</span></p>",rss
"Sat, 26 Sep 2026 08:45:21 +0800",极客公园,Deepseek 桌面版悄悄上线；Muse 大火，扎克伯格跃升全球第四大富豪；OpenAI 被曝筹备推出 ProMax 订阅层级，月费或达 500-600 美元,http://www.geekpark.net/news/371038,,,"<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/78/42/784255df92a0f45ecfaa27cc71d55216.png"" /></p>
<h2>Anthropic 与 Akamai 达成 7 年 116 亿美元协议，扩充 CPU 算力</h2>
<p>9 月 26 日消息，云计算、网络安全、内容交付企业 Akamai 当地时间 24 日宣布大幅扩展与 Anthropic 的合作关系，两家公司签署了一份为期 7 年、价值 116 亿美元（现汇率约合 779.2 亿元人民币）的合同。</p>
<p>根据协议，Akamai 将以其分布式人工智能基础设施和软件满足 Anthropic 日益增长的 CPU 工作负载需求。这 116 亿美元承诺对应 Akamai 的 55 亿美元额外总资本支出。双方还可将合同扩大最多 90 亿美元。</p>
<p>作为两家企业加强战略合作的一部分，Akamai 已向 Anthropic 发行认股权证，允许 Anthropic 购买 Akamai 至多 5% 的已发行普通股，其中 2% 与本次承诺绑定、剩余 3% 则和后续的追加承诺相关。（来源：IT 之家）</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/23/4f/234f5fbb7f4cf71dcff58d02ab54a2bd.png"" /></p>
<h2>SK 海力士旗下 Solidigm 最快明年在美 IPO，估值或高达 1500 亿美元</h2>
<p>SK 海力士旗下美国子公司 Solidigm 正在评估上市计划，潜在估值最高达 1500 亿美元，有望成为美国半导体史上规模最大的 IPO。</p>
<p>据路透援引知情人士透露，Solidigm 本周已与多家投行举行竞标会议，就 IPO 承销角色展开角逐，标志着上市进程迈出实质性一步。</p>
<p>该公司计划最早于明年完成上市，目标募资规模约 150 亿美元。消息人士提醒，包括交易规模和时间表在内的相关计划仍处于早期阶段，可能因市场状况而调整。</p>
<p>据彭博报道，今年 8 月，Solidigm 与 CoreWeave 达成多年期协议，向后者提供企业级固态硬盘（SSD）容量。Solidigm 的其他客户还包括 Vast Data、戴尔和腾讯。</p>
<p>若最终成行，此次上市将为这家专注于 NAND 闪存和企业级固态硬盘的公司提供独立估值，同时借助人工智能基础设施投资热潮吸引市场资金。</p>
<p>AI 相关需求持续推动半导体硬件股上涨，Solidigm 所在赛道正处于这一趋势的核心位置。</p>
<p>在推进上市计划的同时，Solidigm 亦在考虑扩大本土生产能力。据媒体此前报道，该公司正评估在美国建设 NAND 闪存芯片工厂的方案，纽约州北部已成为选址的主要候选地。（来源：华尔街见闻）</p>
<p>&nbsp;</p>
<h2>最贵 AI 订阅服务之一：曝 OpenAI 正筹备 ChatGPT Pro Max 订阅层级</h2>
<p>9 月 25 日消息，Tibor Blaho 通过开发者工具查看 ChatGPT 网页端源代码时发现，其代码中出现了 PROMAX 相关字段。</p>
<p>他认为，OpenAI 正在准备推出更高阶的 ChatGPT Pro 订阅方案，其推测月费可能达到 500~600 美元（现汇率约合 3,359 ~ 4,030 元人民币），这将是市面上最昂贵的 AI 订阅服务之一。</p>
<p>目前，OpenAI 尚未正式宣布推出这一更高阶 ChatGPT Pro 计划，也未确认相关代码是否对应未来正式上线的产品，因此产品名称、功能以及最终定价仍存在较大不确定性。</p>
<p>近年来，OpenAI 持续调整 ChatGPT 的订阅体系，已推出 Plus、Pro 以及面向企业和团队用户的多种付费方案。</p>
<p>在此之前，OpenAI 已经暂停 200 美元（现汇率约合 1,343 元人民币）的 ChatGPT Pro 订阅，以减缓系统压力并保障更多用户能够流畅使用。（来源：IT 之家）</p>
<p>&nbsp;</p>
<h2>DeepSeek Harness 出桌面版了</h2>
<p>DeepSeek Harness，终于有官方桌面版了？这次，DeepSeek 没有发公告，但相关下载链接已经在社交媒体上传开了。</p>
<p>从界面来看，它已经是一套相当完整的 G",rss
"Fri, 25 Sep 2026 18:33:59 +0000",TechCrunch AI,"Ahead of US IPO, British AI neocloud Nscale secures $3.36B in convertible financing",https://techcrunch.com/2026/09/25/ahead-of-u-s-ipo-british-ai-neocloud-nscale-secures-3-36b-in-convertible-finacing/,,,"The funding, which comes from Third Point, Nvidia, and others, will  fuel the company's massive AI data center buildout.",rss
"Fri, 25 Sep 2026 15:40:03 +0000",TechCrunch AI,Anthropic’s founders seek voting control ahead of IPO,https://techcrunch.com/2026/09/25/anthropics-founders-seek-voting-control-ahead-of-ipo/,,,Anthropic is asking its shareholders to approve a structure that would give its seven co-founders a combined 50.1% of the vote on most corporate matters.,rss
