日期,账号,标题,链接,摘要,标签,正文,来源
"Sun, 06 Sep 2026 11:44:21 +0000",量子位,具身ICL来了创业玩家！上下文成Scaling新赛道,https://www.qbitai.com/2026/09/484897.html,,,让机器人学会利用更长的多模态Context,rss
"Mon, 07 Sep 2026 08:55:47 +0800",极客公园,雷军：小米汽车销量突破 80 万；苹果元老辞职，传不满激进 AppStore 增收方案；韩国推出首档人机 AI 恋综 | 极客早知道,http://www.geekpark.net/news/369884,,,"<p style=""text-align: center;"">&nbsp;</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/d5/95/d59594509857d445b0d8aab42b6bb27f.png"" /></p>
<h1>雷军：小米汽车累计交付量超过 80 万辆</h1>
<p>9 月 7 日消息，小米创办人、董事长兼 CEO 雷军刚刚宣布，<strong>小米汽车累计交付量超过 80 万辆</strong>。</p>
<p>据本月早些时候报道，2026 年 8 月，小米汽车交付量持续超过 30,000 台。小米汽车表示，<strong>正全力为小米澎程上市交付做准备</strong>。</p>
<p>另外，在 7 月 30 日的小米澎程技术发布会上，小米创办人、董事长兼 CEO 雷军表示，2 年半的时间，小米汽车发布了两款车&mdash;&mdash;<strong>小米 SU7 和小米 YU7。这两款车都成了爆品，并且累计交付 70 多万台</strong>。</p>
<p>小米汽车 2026 年各月交付量如下：</p>
<ul>
<li>1 月交付量超 39,000 台</li>
<li>2 月交付量超 20,000 台</li>
<li>3 月交付量超 20,000 台</li>
<li>4 月交付量超 30,000 台</li>
<li>5 月交付量超 30,000 台</li>
<li>6 月交付量超 30,000 台</li>
<li>7 月交付量超 30,000 台</li>
<li>8 月交付量超 30,000 台</li>
</ul>
<p>（来源：IT 之家）</p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/88/7e/887e5889860e56c78df94d3fa8cb2cad.png"" /></p>
<p style=""text-align: center;""><img src=""https://imgslim.geekpark.net/uploads/image/file/89/c4/89c44591fe56a782624a2104b254da0d.png"" /></p>
<h1>OpenAI 宣布已经实现「自动化 AI 研究实习生」</h1>
<p>9 月 6 日消息，OpenAI 发布博客宣布，已经达成去年秋季定下的<strong>自动化 AI 研究实习生</strong>目标，同时披露 AI 智能体参与内部科研的实际情况，提出 AGI 要造福人类，需要公开讨论与民主治理。</p>
<p>官方指出，仅披露个别风险事件并不充分，公众需要了解前沿实验室内部顶尖 AI 的开发过程，才能有效参与 AI 发展决策。这套 AI 研究实习生可在人类监督下执行明确科研任务，完成资深研究员数日的工作量；OpenAI 计划在 2028 年 3 月冲击全自动 AI 研究员目标。但研究方向取舍、模型扩容、暂停、部署的全部决定权仍归人类，AI 仅负责执行任务。</p>
<p>2026 年以来，OpenAI 研究员大规模并发使用编码智能体，代码产出与实验数量显著上涨，但 AI 代理无法解决全部研发瓶颈，科研整体进度不会随代理用量线性增长。</p>
<p>OpenAI 表示，自动化 AI 研究可以降低高阶智能使用成本，协助解决对齐问题、搭建 AI 安全防线，但不应盲目推进快速递归自我改进（RSI），技术节奏取决于人类管控能力与社会风险判断。目前行业尚无安全实现完整对齐 RSI 的成熟方案，能力提升与安全对齐未必同步，一旦出现严重安全风险，公司会减速甚至暂停开发。</p>
<p>受此前 Hugging Face 安全事件影响，OpenAI 曾暂停部分模型强化学习训练，加固研究环境，将安全对齐贯穿模型全生命周期。OpenAI 称代理系统尚处于早期，即便没有监管强制，未来也会持续公开 RSI 相关进展，兼顾安全保密与信息透明度。</p>
<p>博文链接：https://openai.com/index/research-acceleration-view-inside-openai/（来源：OpenAI）</p>
<h1>华为、苹果正面交锋，折叠屏手机市场将迎「72 小时对决」</h1>
<p>9 月 7 日下午至 10 日凌晨，华为、小米、苹果将在 72 小时内接连发布各自的折叠屏旗舰手机。华为与苹果首次在折叠屏赛道正面交锋，小米同台竞技，三",rss
"Sun, 06 Sep 2026 16:45:00 +0000",TechCrunch AI,Travis Kalanick’s Atoms might be getting into the robotaxi business,https://techcrunch.com/2026/09/06/travis-kalanicks-atoms-might-be-getting-into-the-robotaxi-business/,,,"The Uber founder has said that Atoms will allow him to complete ""unfinished business.""",rss
